lemma,stem,part_of_speech_id
aawadaatigwe,aawadaatigwe,vai
aawadamaw,aawadamaw,vta
aawadashkosiwe,aawadashkosiwe,vai
aawadaw,aawadaw,vta
aawadinise,aawadinise,vai
aawadinisedaabii,aawadinisedaabii,vai
aawadoom,aawadoom,vta
aawadoon,aawad,vti2
aawadoondan,aawadoond,vti
aawajibingwe,aawajibingwe,vai
aawajidaabaadan,aawajidaabaad,vti
aawajidaabaazh,aawajidaabaaN,vta
aawajidaabii,aawajidaabii,vai
aawajigaade,aawajigaade,vii
aawajigaazo,aawajigaazo,vai
aawajige,aawajige,vai
aawajimiijime,aawajimiijime,vai
aawajimine,aawajimine,vai
aawajinigaadan,aawajinigaad,vti
aawajinigaazh,aawajinigaaN,vta
aawajinige,aawajinige,vai
aawajiwane,aawajiwane,vai
aawajiwiisiniwine,aawajiwiisiniwine,vai
aawan,aawan,vii
aawazh,aawaN,vta
aawazhiwe,aawazhiwe,vai
aawekaazh,aawekaaN,vta
aawenan,aawen,vti
aawenaw,aawenaw,vta
aawendan,aawend,vti
aawenim,aawenim,vta
aawetan,aawet,vti
aawetaw,aawetaw,vta
aawi,aawi,vai
aawikaazo,aawikaazo,vai
aayaatwaakogaabawi,aayaatwaakogaabawi,vai
aayaazhawaabiigiwebishikige,aayaazhawaabiigiwebishikige,vai
aayaazhawaakwii,aayaazhawaakwii,vai
aayaazhawibatoo,aayaazhawibatoo,vai
aayaazhawiwebinamaw,aayaazhawiwebinamaw,vta
aayenaabiisin,aayenaabiisin,vii
aazhawa'adoo,aazhawa'adoo,vai
aazhawa'adoobatoo,aazhawa'adoobatoo,vai
aazhawa'o,aazhawa'o,vai
aazhawa'oodoon,aazhawa'ood,vti2
aazhawa'oojigaade,aazhawa'oojigaade,vii
aazhawa'oojigaazo,aazhawa'oojigaazo,vai
aazhawa'oojige,aazhawa'oojige,vai
aazhawa'oozh,aazhawa'ooN,vta
aazhawaabiigin,aazhawaabiigin,vta
aazhawaabiiginan,aazhawaabiigin,vti
aazhawaadagaa,aazhawaadagaa,vai
aazhawaadagaako,aazhawaadagaako,vai
aazhawaadagaakobatoo,aazhawaadagaakobatoo,vai
aazhawaadagaaziibatoo,aazhawaadagaaziibatoo,vai
aazhawaadage,aazhawaadage,vai
aazhawaakogoodoon,aazhawaakogood,vti2
aazhawaakoshim,aazhawaakoshim,vta
aazhawaakoshin,aazhawaakoshin,vai
aazhawaakosidoon,aazhawaakosid,vti2
aazhawaakosin,aazhawaakosin,vii
aazhawaakwagwinjin,aazhawaakwagwinjin,vai
aazhawaakwii,aazhawaakwii,vai
aazhawaakwiigwaashkoni,aazhawaakwiigwaashkoni,vai
aazhawaandawe,aazhawaandawe,vai
aazhawaandawemon,aazhawaandawemo,vii
aazhawaanimad,aazhawaanimad,vii
aazhawaashi,aazhawaashi,vai
aazhawaasin,aazhawaasin,vii
aazhawaatebii'amaw,aazhawaatebii'amaw,vta
aazhawagaako,aazhawagaako,vai
aazhawagaakobatoo,aazhawagaakobatoo,vai
aazhawagaakobizo,aazhawagaakobizo,vai
aazhawagaakomotoo,aazhawagaakomotoo,vai
aazhawagaame,aazhawagaame,vai
aazhawagaamebatoo,aazhawagaamebatoo,vai
aazhawagaamebizo,aazhawagaamebizo,vai
aazhawagaazii,aazhawagaazii,vai
aazhawagaaziibatoo,aazhawagaaziibatoo,vai
aazhawakamigaa,aazhawakamigaa,vii
aazhawakwazhiwe,aazhawakwazhiwe,vai
aazhawamon,aazhawamo,vii
aazhawapidoon,aazhawapid,vti2
aazhawasaa,aazhawasaa,vai
aazhaweweshim,aazhaweweshim,vta
aazhawewesidoon,aazhawewesid,vti2
aazhawewesijige,aazhawewesijige,vai
aazhawi-dakokii,aazhawidakokii,vai
aazhawiba'idiwag,aazhawiba'idi,vai
aazhawiba'iwe,aazhawiba'iwe,vai
aazhawibatoo,aazhawibatoo,vai
aazhawibatwaadan,aazhawibatwaad,vti
aazhawibatwaazh,aazhawibatwaaN,vta
aazhawibide,aazhawibide,vii
aazhawibizo',aazhawibizo',vta
aazhawibizo,aazhawibizo,vai
aazhawibizonitoon,aazhawibizonit,vti2
aazhawibizotoon,aazhawibizot,vti2
aazhawidaabaadan,aazhawidaabaad,vti
aazhawidaabaazh,aazhawidaabaaN,vta
aazhawidaabii'iwe,aazhawidaabii'iwe,vai
aazhawidaabii,aazhawidaabii,vai
aazhawigwaashkwani,aazhawigwaashkwani,vai
aazhawikanebizo,aazhawikanebizo,vai
aazhawikawe,aazhawikawe,vai
aazhawinamaadiwag,aazhawinamaadi,vai
aazhawinamaage,aazhawinamaage,vai
aazhawinamaw,aazhawinamaw,vta
aazhawinigaadan,aazhawinigaad,vti
aazhawinigaazh,aazhawinigaaN,vta
aazhawinige,aazhawinige,vai
aazhawinizha',aazhawnizha'w,vta
aazhawinizha'an,aazhawinizha',vti
aazhawinizha'ige,aazhawinizha'ige,vai
aazhawise,aazhawise,vai
aazhawise,aazhawise,vii
aazhawishim,aazhawishim,vta
aazhawishin,aazhawishin,vai
aazhawishkaa,aazhawishkaa,vai
aazhawisidoon,aazhawisid,vti2
aazhawisin,aazhawisin,vii
aazhawiwebin,aazhawiwebin,vta
aazhawiwebinamaw,aazhawiwebinamaw,vta
aazhawiwebinan,aazhawiwebin,vti
aazhawoode,aazhawoode,vai
aazhidebii'ige,aazhidebii'ige,vai
aazhidem,aazhidem,vta
aazhidendiwag,aazhidendi,vai
aazhideyiiginan,aazhideyiigin,vti
aazhigidabi,aazhigidabi,vai
aazhigidagoojin,aazhigidagoojin,vai
aazhigidikweni,aazhigidikweni,vai
aazhigidin,aazhigidin,vta
aazhigidinan,aazhigidin,vti
aazhigidwebin,aazhigidwebin,vta
aazhigidwebinan,aazhigidwebin,vti
aazhigidwebishkan,aazhigidwebishk,vti
aazhigijibizh,aazhigijibiN,vta
aazhigijiiginige,aazhigijiiginige,vai
aazhigijise,aazhigijise,vai
aazhigijise,aazhigijise,vii
aazhigijishim,aazhigijishim,vta
aazhigijishin,aazhigijishin,vai
aazhigijisidoon,aazhigijisid,vti2
aazhigijisin,aazhigijisin,vii
aazhigijiweba',aazhigijiweba'w,vta
aazhikwe,aazhikwe,vai
aazhoganike,aazhoganike,vai
aazhoge'adoo,aazhoge'adoo,vai
aazhoge,aazhoge,vai
aazhogebide,aazhogebide,vii
aazhogebizo,aazhogebizo,vai
aazhogedaabii'iwe,aazhogedaabii'iwe,vai
aazhogewidoon,aazhogewid,vti2
aazhogewizh,aazhogewiN,vta
aazhooba'idiwag,aazhooba'idi,vai
aazhooba'iwe,aazhooba'iwe,vai
aazhoobatoo,aazhoobatoo,vai
aazhoodaabii'iwe,aazhoodaabii'iwe,vai
aazhoogaadebi,aazhoogaadebi,vai
aazhookoodin,aazhookoodin,vta
aazhoomon,aazhoomo,vii
aazhooningwa'an,aazhooningwa',vti
aazhooshkaa,aazhooshkaa,vai
aazikan,aazik,vti
aazikaw,aazikaw,vta
abaabas,abaabasw,vta
abaabasan,abaabas,vti
abaabasige,abaabasige,vai
abaabaso,abaabaso,vai
abaabikizan,abaabikiz,vti
abaabikizwi,abaakizw,vta
abaagamide,abaagamide,vii
abaagamizamaw,abaagamizamaw,vta
abaagamizan,abaagamiz,vti
abaagamizige,abaagamizige,vai
abaakiganezo,abaakiganezo,vai
abaasandeke,abaasandeke,vai
abaaso,abaaso,vai
abaate,abaate,vii
abaawiganezo,abaawiganezo,vai
abashkwebiigininjiishin,abashkwebiigininjiishin,vai
abashkwebiigizi,abashkwebiigizi,vai
abashkwebiigizideshin,abashkwebiigizideshin,vai
abi,abi,vai
abide,abide,vii
abidiyezo,abidiyezo,vai
abiichigaade,abiichigaade,vii
abiigizan,abiigiz,vti
abiigizige,abiigizige,vai
abiigizwi,abiigizw,vta
abiingwezo,abiingwezo,vai
abiitan,abiit,vti
abiitaw,abiitaw,vta
abininjiizo,abininjiizo,vai
