Paradigm,Order,Class,Lemma,Stem,Subject,Object,Mode,Negation,Form1Surface,Form1Split,Form1Source,Form2Surface,Form2Split,
VII,Ind,VII_n,bangisin,bangisin,0SgObv,NA,Dub,Pos,bangisininiwidog,<<bangisin>>iniwidog,JDN-2010-MS-VII-p8,,,
VII,Ind,VII_n,bangisin,bangisin,0SgProx,NA,Dub,Pos,bangisinodog,<<bangisin>>odog,JDN-2010-MS-VII-p8,,,
VII,Ind,VII_n,bangisin,bangisin,0PlObv,NA,Dub,Neg,bangisinzininiwidogen,<<bangisin>>zininiwidogen,JDN-2010-MS-VII-p9,,,
VII,Ind,VII_n,bangisin,bangisin,0PlProx,NA,Dub,Neg,bangisinzinodogen,<<bangisin>>zinodogen,JDN-2010-MS-VII-p9,,,
VII,Ind,VII_n,bangisin,bangisin,0SgObv,NA,Dub,Neg,bangisinzininiwidog,<<bangisin>>zininiwidog,JDN-2010-MS-VII-p9,,,
VII,Ind,VII_n,bangisin,bangisin,0SgProx,NA,Dub,Neg,bangisinzinodog,<<bangisin>>zinodog,JDN-2010-MS-VII-p9,,,
VII,Ind,VII_n,bangisin,bangisin,0PlObv,NA,DubPrt,Pos,bangisininigobaniin,<<bangisin>>inigobaniin,JDN-2010-MS-VII-p11,bangisininigobanen,<<bangisin>>inigobanen,JDN-2010-MS-VII-p11
VII,Ind,VII_n,bangisin,bangisin,0PlProx,NA,DubPrt,Pos,bangisinogobaniin,<<bangisin>>ogobaniin,JDN-2010-MS-VII-p11,bangisinogobanen,<<bangisin>>ogobanen,JDN-2010-MS-VII-p11
VII,Ind,VII_n,bangisin,bangisin,0SgObv,NA,DubPrt,Pos,bangisininigoban,<<bangisin>>inigoban,JDN-2010-MS-VII-p11,,,
VII,Ind,VII_n,bangisin,bangisin,0SgProx,NA,DubPrt,Pos,bangisinogoban,<<bangisin>>ogoban,JDN-2010-MS-VII-p11,,,
VII,Ind,VII_n,bangisin,bangisin,0PlObv,NA,DubPrt,Neg,bangisinzininigobaniin,<<bangisin>>zininigobaniin,JDN-2010-MS-VII-p12,bangisinzininigobanen,<<bangisin>>zininigobanen,JDN-2010-MS-VII-p12
VII,Ind,VII_n,bangisin,bangisin,0PlProx,NA,DubPrt,Neg,bangisinzinoogobaniin,<<bangisin>>zinoogobaniin,JDN-2010-MS-VII-p12,bangisinzinoogobanen,<<bangisin>>zinoogobanen,JDN-2010-MS-VII-p12
VII,Ind,VII_n,bangisin,bangisin,0SgObv,NA,DubPrt,Neg,bangisinzininigoban,<<bangisin>>zininigoban,JDN-2010-MS-VII-p12,,,
VII,Ind,VII_n,bangisin,bangisin,0SgProx,NA,DubPrt,Neg,bangisinzinoogoban,<<bangisin>>zinoogoban,JDN-2010-MS-VII-p12,,,
VII,Ind,VII_V,dakaagami,dakaagami,0PlObv,NA,Neu,Pos,MISSING,,,,,
VII,Ind,VII_V,dakaagami,dakaagami,0PlProx,NA,Neu,Pos,MISSING,,,,,
VII,Ind,VII_V,dakaagami,dakaagami,0SgObv,NA,Neu,Pos,dakaagaminini,<<dakaagami>>niniw,JDN-2010-MS-VII-p3,,,
VII,Ind,VII_V,dakaagami,dakaagami,0SgProx,NA,Neu,Pos,dakaagami,<<dakaagami>>w,OPD-Note-po,dakaagamin,<<dakaagami>>n,JDN-2010-MS-VII-p3
VII,Ind,VII_V,dakaagami,dakaagami,0PlObv,NA,Neu,Neg,MISSING,,,,,
VII,Ind,VII_V,dakaagami,dakaagami,0PlProx,NA,Neu,Neg,MISSING,,,,,
VII,Ind,VII_V,dakaagami,dakaagami,0SgObv,NA,Neu,Neg,dakaagamisinini,<<dakaagami>>sininiw,JDN-2010-MS-VII-p5,,,
VII,Ind,VII_V,dakaagami,dakaagami,0SgProx,NA,Neu,Neg,dakaagamisinoon,<<dakaagami>>sinoon,JDN-2010-MS-VII-p5,,,
