Paradigm,Order,Class,Lemma,Stem,Subject,Object,Mode,Negation,Form1Surface,Form1Split,Form1Source,Form2Surface,Form2Split,Form2Source
VAI,Cnj,VAI_m,minongwaam,minongwaam,1Sg,,Prt,Pos,minongwaamaambaan,<<minongwaam>>aambaan,JDN-2010-MS-VAI-p27,,,
VAI,Cnj,VAI_V,nagamo,nagamo,1Sg,,Prt,Pos,nagamoyaambaan,<<nagamo>>yaambaan,JDN-2010-MS-VAI-p27,,,
VAI,Cnj,VAI_VV,nibaa,nibaa,1Sg,,Prt,Pos,nibaayaambaan,<<nibaa>>yaambaan,NJ-ngs-2023Aug18; JDN-2010-MS-VAI-p27,,,
VAI,Cnj,VAI_V,niimi,niimi,1Sg,,Prt,Pos,niimiyaambaan,<<niimi>>yaambaan,JDN-2010-MS-VAI-p27,,,
VAI,Cnj,VAI_n,wanishin,wanishin,1Sg,,Prt,Pos,wanishinaambaan,<<wanishin>>aambaan,JDN-2010-MS-VAI-p27,,,
VAI,Cnj,VAI_VV,webinige,webinige,1Sg,,Prt,Pos,webinigeyaambaan,<<webinige>>yaambaan,JDN-2010-MS-VAI-p27,,,
VAI,Cnj,VAI_am,zaaga'am,zaaga',1Sg,,Prt,Pos,zaaga'amaambaan,<<zaaga'>>amaambaan,JDN-2010-MS-VAI-p27,,,
VAI,Cnj,VAI_VV,maajiibatoo,maajiibatoo,2Pl,,Dub,Neg,maajiibatoosiiwegwen,<<maajiibatoo>>siiwegwen,JDN-2010-MS-VAI-p32,,,
VAI,Cnj,VAI_VV,madaabii,madaabii,2Pl,,Dub,Neg,madaabiisiiwegwen,<<madaabii>>siiwegwen,JDN-2010-MS-VAI-p32,,,
VAI,Cnj,VAI_m,minongwaam,minongwaam,2Pl,,Dub,Neg,minongwaanziiwegwen,<<minongwaan>>ziiwegwen,JDN-2010-MS-VAI-p32,,,
VAI,Cnj,VAI_V,nagamo,nagamo,2Pl,,Dub,Neg,nagamosiiwegwen,<<nagamo>>siiwegwen,JDN-2010-MS-VAI-p32,,,
VAI,Cnj,VAI_VV,nibaa,nibaa,2Pl,,Dub,Neg,nibaasiiwegwen,<<nibaa>>siiwegwen,NJ-ngs-2023Aug18; JDN-2010-MS-VAI-p32,,,
VAI,Cnj,VAI_V,niimi,niimi,2Pl,,Dub,Neg,niimisiiwegwen,<<niimi>>siiwegwen,JDN-2010-MS-VAI-p32,,,
VAI,Cnj,VAI_n,wanishin,wanishin,2Pl,,Dub,Neg,wanishinziiwegwen,<<wanishin>>ziiwegwen,JDN-2010-MS-VAI-p32,,,
VAI,Cnj,VAI_VV,webinige,webinige,2Pl,,Dub,Neg,webinigesiiwegwen,<<webinige>>siiwegwen,JDN-2010-MS-VAI-p32,,,
VAI,Cnj,VAI_am,zaaga'am,zaaga',2Pl,,Dub,Neg,zaaga'anziiwegwen,<<zaaga'>>anziiwegwen,JDN-2010-MS-VAI-p32,,,
VAI,Cnj,VAI_VV,maajiibatoo,maajiibatoo,2Pl,,Dub,Pos,maajiibatoowegwen,<<maajiibatoo>>wegwen,JDN-2010-MS-VAI-p31,,,
VAI,Cnj,VAI_VV,madaabii,madaabii,2Pl,,Dub,Pos,madaabiiwegwen,<<madaabii>>wegwen,JDN-2010-MS-VAI-p31,,,
VAI,Cnj,VAI_m,minongwaam,minongwaam,2Pl,,Dub,Pos,minongwaamowegwen,<<minongwaam>>owegwen,JDN-2010-MS-VAI-p31,,,
VAI,Cnj,VAI_V,nagamo,nagamo,2Pl,,Dub,Pos,nagamowegwen,<<nagamo>>wegwen,JDN-2010-MS-VAI-p31,,,
VAI,Cnj,VAI_VV,nibaa,nibaa,2Pl,,Dub,Pos,nibaawegwen,<<nibaa>>wegwen,NJ-ngs-2023Aug18; JDN-2010-MS-VAI-p31,,,
VAI,Cnj,VAI_V,niimi,niimi,2Pl,,Dub,Pos,niimiwegwen,<<niimi>>wegwen,JDN-2010-MS-VAI-p31,,,
VAI,Cnj,VAI_n,wanishin,wanishin,2Pl,,Dub,Pos,wanishinowegwen,<<wanishin>>owegwen,JDN-2010-MS-VAI-p31,,,
VAI,Cnj,VAI_VV,webinige,webinige,2Pl,,Dub,Pos,webinigewegwen,<<webinige>>wegwen,JDN-2010-MS-VAI-p31,,,
VAI,Cnj,VAI_am,zaaga'am,zaaga',2Pl,,Dub,Pos,zaaga'amowegwen,<<zaaga'>>amowegwen,JDN-2010-MS-VAI-p31,,,
VAI,Cnj,VAI_VV,maajiibatoo,maajiibatoo,2Pl,,DubPrt,Neg,maajiibatoosiiwegibanen,<<maajiibatoo>>siiwegibanen,JDN-2010-MS-VAI-p36,,,
VAI,Cnj,VAI_VV,madaabii,madaabii,2Pl,,DubPrt,Neg,madaabiisiiwegibanen,<<madaabii>>siiwegibanen,JDN-2010-MS-VAI-p36,,,
