Paradigm,Order,Class,Lemma,Stem,Subject,Object,Mode,Negation,Form1Surface,Form1Split,Form1Source
VII,Cnj,VII_VV,michaa,michaa,0SgProx/0PlProx,NA,Neu,Neg,michaasinog,<<michaa>>sinog,JDN-2010-MS-VII-p15
VII,Cnj,VII_VV,michaa,michaa,0SgObv/0PlObv,NA,Prt,Pos,michaanigiban,<<michaa>>nigiban,JDN-2010-MS-VII-p16
VII,Cnj,VII_VV,michaa,michaa,0SgProx/0PlProx,NA,Prt,Pos,michaagiban,<<michaa>>giban,JDN-2010-MS-VII-p16
VII,Cnj,VII_VV,michaa,michaa,0SgObv/0PlObv,NA,Prt,Neg,michaasininigiban,<<michaa>>sininigiban,JDN-2010-MS-VII-p17
VII,Cnj,VII_VV,michaa,michaa,0SgProx/0PlProx,NA,Prt,Neg,michaasinoogiban,<<michaa>>sinoogiban,JDN-2010-MS-VII-p17
VII,Cnj,VII_VV,michaa,michaa,0SgObv/0PlObv,NA,Dub,Pos,michaanigwen,<<michaa>>nigwen,JDN-2010-MS-VII-p18
VII,Cnj,VII_VV,michaa,michaa,0SgProx/0PlProx,NA,Dub,Pos,michaagwen,<<michaa>>gwen,JDN-2010-MS-VII-p18
VII,Cnj,VII_VV,michaa,michaa,0SgObv/0PlObv,NA,Dub,Neg,michaasininiigwen,<<michaa>>sininiigwen,JDN-2010-MS-VII-p19
VII,Cnj,VII_VV,michaa,michaa,0SgProx/0PlProx,NA,Dub,Neg,michaasinoogwen,<<michaa>>sinoogwen,JDN-2010-MS-VII-p19
VII,Cnj,VII_VV,michaa,michaa,0SgObv/0PlObv,NA,DubPrt,Pos,michaanigobanen,<<michaa>>nigobanen,JDN-2010-MS-VII-p20
VII,Cnj,VII_VV,michaa,michaa,0SgProx/0PlProx,NA,DubPrt,Pos,michaagobanen,<<michaa>>gobanen,JDN-2010-MS-VII-p20
VII,Cnj,VII_VV,michaa,michaa,0SgObv/0PlObv,NA,DubPrt,Neg,michaasininigobanen,<<michaa>>sininigobanen,JDN-2010-MS-VII-p21
VII,Cnj,VII_VV,michaa,michaa,0SgProx/0PlProx,NA,DubPrt,Neg,michaasinoogobanen,<<michaa>>sinoogobanen,JDN-2010-MS-VII-p21
VII,Cnj,VII_d,zanagad,zanagad,0SgObv/0PlObv,NA,Neu,Pos,zanagadinig,<<zanagad>>inig,JDN-2010-MS-VII-p14
VII,Cnj,VII_d,zanagad,zanagad,0SgProx/0PlProx,NA,Neu,Pos,zanagak,<<zanaga>>k,JDN-2010-MS-VII-p14
VII,Cnj,VII_d,zanagad,zanagad,0SgObv/0PlObv,NA,Neu,Neg,zanagasininig,<<zanaga>>sininig,JDN-2010-MS-VII-p15
VII,Cnj,VII_d,zanagad,zanagad,0SgProx/0PlProx,NA,Neu,Neg,zanagasinog,<<zanaga>>sinog,JDN-2010-MS-VII-p15
VII,Cnj,VII_d,zanagad,zanagad,0SgObv/0PlObv,NA,Prt,Pos,zanagadinigiban,<<zanagad>>inigiban,JDN-2010-MS-VII-p16
VII,Cnj,VII_d,zanagad,zanagad,0SgProx/0PlProx,NA,Prt,Pos,zanagakiban,<<zanaga>>kiban,JDN-2010-MS-VII-p16
VII,Cnj,VII_d,zanagad,zanagad,0SgObv/0PlObv,NA,Prt,Neg,zanagasininigiban,<<zanaga>>sininigiban,JDN-2010-MS-VII-p17
VII,Cnj,VII_d,zanagad,zanagad,0SgProx/0PlProx,NA,Prt,Neg,zanagasinoogiban,<<zanaga>>sinoogiban,JDN-2010-MS-VII-p17
VII,Cnj,VII_d,zanagad,zanagad,0SgObv/0PlObv,NA,Dub,Pos,zanagadinigwen,<<zanagad>>inigwen,JDN-2010-MS-VII-p18
VII,Cnj,VII_d,zanagad,zanagad,0SgProx/0PlProx,NA,Dub,Pos,zanagadogwen,<<zanagad>>ogwen,JDN-2010-MS-VII-p18
VII,Cnj,VII_d,zanagad,zanagad,0SgObv/0PlObv,NA,Dub,Neg,zanagasininiigwen,<<zanaga>>sininiigwen,JDN-2010-MS-VII-p19
VII,Cnj,VII_d,zanagad,zanagad,0SgProx/0PlProx,NA,Dub,Neg,zanagasinoogwen,<<zanaga>>sinoogwen,JDN-2010-MS-VII-p19
VII,Cnj,VII_d,zanagad,zanagad,0SgObv/0PlObv,NA,DubPrt,Pos,zanagadinigobanen,<<zanagad>>inigobanen,JDN-2010-MS-VII-p20
VII,Cnj,VII_d,zanagad,zanagad,0SgProx/0PlProx,NA,DubPrt,Pos,zanagadogobanen,<<zanagad>>ogobanen,JDN-2010-MS-VII-p20
VII,Cnj,VII_d,zanagad,zanagad,0SgObv/0PlObv,NA,DubPrt,Neg,zanagasininigobanen,<<zanaga>>sininigobanen,JDN-2010-MS-VII-p21
VII,Cnj,VII_d,zanagad,zanagad,0SgProx/0PlProx,NA,DubPrt,Neg,zanagasinoogobanen,<<zanaga>>sinoogobanen,JDN-2010-MS-VII-p21
