Paradigm,Order,Class,Lemma,Stem,Head,Subject,Object,Mode,Negation,Form1Surface,Form1Split,Form1Source,Form2Surface,Form2Split,Form2Source,
VAI,Pcp,VAI_VV,webinige,webinige,3SgProxHead,3SgProxSubj,NONE,DubPrt,Neg,wayebinigesiigobanen,<<webinige>>siigobanen,GUESS,,,,
VAI,Pcp,VAI_am,zaaga'am,zaaga',3SgProxHead,3SgProxSubj,NONE,DubPrt,Neg,zayaaga'amogobanen,<<zaaga'>>amogobanen,GUESS,,,,
VAI,Pcp,VAI_VV,maajiibatoo,maajiibatoo,3SgProxHead,3SgProxSubj,NONE,DubPrt,Pos,mayaajiibatoogobanen,<<maajiibatoo>>gobanen,GUESS,,,,
VAI,Pcp,VAI_VV,madaabii,madaabii,3SgProxHead,3SgProxSubj,NONE,DubPrt,Pos,medaabiigobanen,<<madaabii>>gobanen,GUESS,,,,
VAI,Pcp,VAI_m,minongwaam,minongwaam,3SgProxHead,3SgProxSubj,NONE,DubPrt,Pos,menongwaamogobanen,<<minongwaam>>ogobanen,GUESS,,,,
VAI,Pcp,VAI_V,nagamo,nagamo,3SgProxHead,3SgProxSubj,NONE,DubPrt,Pos,negamogobanen,<<nagamo>>gobanen,GUESS,,,,
VAI,Pcp,VAI_VV,nibaa,nibaa,3SgProxHead,3SgProxSubj,NONE,DubPrt,Pos,nebaagobanen,<<nibaa>>gobanen,GUESS,,,,
VAI,Pcp,VAI_V,niimi,niimi,3SgProxHead,3SgProxSubj,NONE,DubPrt,Pos,naamigobanen,<<niimi>>gobanen,GUESS,,,,
VAI,Pcp,VAI_n,wanishin,wanishin,3SgProxHead,3SgProxSubj,NONE,DubPrt,Pos,wenishinogobanen,<<wanishin>>ogobanen,GUESS,,,,
VAI,Pcp,VAI_VV,webinige,webinige,3SgProxHead,3SgProxSubj,NONE,DubPrt,Pos,wayebinigegobanen,<<webinige>>gobanen,GUESS,,,,
VAI,Pcp,VAI_am,zaaga'am,zaaga',3SgProxHead,3SgProxSubj,NONE,DubPrt,Pos,zayaaga'amogobanen,<<zaaga'>>amogobanen,GUESS,,,,
VAI,Pcp,VAI_VV,maajiibatoo,maajiibatoo,3PlObvHead,3PlObvSubj,NONE,Neu,Neg,mayaajiibatoosinijin,<<maajiibatoo>>sinijin,GUESS,,,,
VAI,Pcp,VAI_VV,madaabii,madaabii,3PlObvHead,3PlObvSubj,NONE,Neu,Neg,medaabiisinijin,<<madaabii>>sinijin,GUESS,,,,
VAI,Pcp,VAI_m,minongwaam,minongwaam,3PlObvHead,3PlObvSubj,NONE,Neu,Neg,menongwaanzinijin,<<minongwaan>>zinijin,GUESS,,,,
VAI,Pcp,VAI_V,nagamo,nagamo,3PlObvHead,3PlObvSubj,NONE,Neu,Neg,negamosinijin,<<nagamo>>sinijin,GUESS,,,,
VAI,Pcp,VAI_VV,nibaa,nibaa,3PlObvHead,3PlObvSubj,NONE,Neu,Neg,nebaasinijin,<<nibaa>>sinijin,GUESS,,,,
