Paradigm,Order,Class,Lemma,Stem,Subject,Object,Mode,Negation,FormSurface,Form1Split,Form1Source,Form2Surface,Form2Split,Form2Source
VTA,Cnj,VTA_C,waabam,waabam,2PlSubj,1SgObj,Neu,Neg,waabamisiweg,<<waabam>>i1siweg,NJ-ngs-2023-Aug19,,,
VTA,Cnj,VTA_C,waabam,waabam,2PlSubj,3PlObvObj,Neu,Neg,waabamimaasiweg,<<waabam>>imaasiweg,RECONFIRM,,,
VTA,Cnj,VTA_C,waabam,waabam,2PlSubj,3PlProxObj,Neu,Neg,waabamaasiwegwaa,<<waabam>>aasiwegwaa,NJ-ngs-2023-Aug19,,,
VTA,Cnj,VTA_C,waabam,waabam,2PlSubj,3SgObvObj,Neu,Neg,waabamimaasiweg,<<waabam>>imaasiweg,NJ-ngs-2023-Aug19,,,
VTA,Cnj,VTA_C,waabam,waabam,2PlSubj,3SgProxObj,Neu,Neg,waabamaasiweg,<<waabam>>aasiweg,NJ-ngs-2023-Aug19,,,
VTA,Cnj,VTA_C,waabam,waabam,2PlSubj,ExclObj,Neu,Neg,waabamisiwaang,<<waabam>>i1siwaang,NJ-ngs-2023-Aug19,,,
VTA,Cnj,VTA_C,waabam,waabam,2PlSubj,1SgObj,Neu,Pos,waabamiyeg,<<waabam>>i1yeg,NJ-ngs-2023-Aug19,,,
VTA,Cnj,VTA_C,waabam,waabam,2PlSubj,3PlObvObj,Neu,Pos,waabamimeg,<<waabam>>imeg,RECONFIRM,,,
VTA,Cnj,VTA_C,waabam,waabam,2PlSubj,3PlProxObj,Neu,Pos,waabamegwaa,<<waabam>>egwaa,NJ-ngs-2023-Aug19,,,
VTA,Cnj,VTA_C,waabam,waabam,2PlSubj,3SgObvObj,Neu,Pos,waabamimeg,<<waabam>>imeg,NJ-ngs-2023-Aug19,,,
VTA,Cnj,VTA_C,waabam,waabam,2PlSubj,3SgProxObj,Neu,Pos,waabameg,<<waabam>>eg,NJ-ngs-2023-Aug19,,,
VTA,Cnj,VTA_C,waabam,waabam,2PlSubj,ExclObj,Neu,Pos,waabamiyaang,<<waabam>>i1yaang,NJ-ngs-2023-Aug19,,,
VTA,Cnj,VTA_C,waabam,waabam,2SgSubj,1SgObj,Neu,Neg,waabamisiwan,<<waabam>>i1siwan,NJ-ngs-2023-Aug19,,,
