Paradigm,Order,Class,Lemma,Stem,Head,Subject,Object,Mode,Negation,Form1Surface,Form1Split,Form1Source,Form2Surface,Form2Split,Form2Source,Form3Surface,Form3Split,Form3Source
VTI,Ind,VTI_aa,ayaan,ayaa,NONE,3SgProxSubj,0SgObj,Dub,Neg,odayaasiinaadog,o<<ayaa>>siinaadog,JDN-2010-MS-VTI-p20,,,,,,
VTI,Ind,VTI_am,waabandan,waaband,NONE,3SgProxSubj,0SgObj,Dub,Neg,owaabandanziinaadog,o<<waaband>>anziinaadog,JDN-2010-MS-VTI-p18,,,,,,
VTI,Ind,VTI_i,miijin,miiji,NONE,3SgProxSubj,0SgObj,Dub,Neg,omiijisiinaadog,o<<miiji>>siinaadog,JDN-2010-MS-VTI-p18,,,,,,
VTI,Ind,VTI_oo,wanitoon,wanit,NONE,3SgProxSubj,0SgObj,Dub,Neg,owanitoosiinaadog,o<<wanit>>oosiinaadog,JDN-2010-MS-VTI-p18,,,,,,
VTI,Ind,VTI_aa,ayaan,ayaa,NONE,ExclSubj,0SgObj,Dub,Neg,nidayaasiiminaadog,ni<<ayaa>>siiminaadog,JDN-2010-MS-VTI-p20,,,,,,
VTI,Ind,VTI_am,waabandan,waaband,NONE,ExclSubj,0SgObj,Dub,Neg,niwaabandanziiminaadog,ni<<waaband>>anziiminaadog,JDN-2010-MS-VTI-p18,,,,,,
VTI,Ind,VTI_i,miijin,miiji,NONE,ExclSubj,0SgObj,Dub,Neg,nimiijisiiminaadog,ni<<miiji>>siiminaadog,JDN-2010-MS-VTI-p18,,,,,,
VTI,Ind,VTI_oo,wanitoon,wanit,NONE,ExclSubj,0SgObj,Dub,Neg,niwanitoosiiminaadog,ni<<wanit>>oosiiminaadog,JDN-2010-MS-VTI-p18,,,,,,
VTI,Ind,VTI_aa,ayaan,ayaa,NONE,InclSubj,0SgObj,Dub,Neg,gidayaasiiminaadog,gi<<ayaa>>siiminaadog,JDN-2010-MS-VTI-p20,,,,,,
VTI,Ind,VTI_am,waabandan,waaband,NONE,InclSubj,0SgObj,Dub,Neg,giwaabandanziiminaadog,gi<<waaband>>anziiminaadog,JDN-2010-MS-VTI-p18,,,,,,
VTI,Ind,VTI_i,miijin,miiji,NONE,InclSubj,0SgObj,Dub,Neg,gimiijisiiminaadog,gi<<miiji>>siiminaadog,JDN-2010-MS-VTI-p18,,,,,,
VTI,Ind,VTI_oo,wanitoon,wanit,NONE,InclSubj,0SgObj,Dub,Neg,giwanitoosiiminaadog,gi<<wanit>>oosiiminaadog,JDN-2010-MS-VTI-p18,,,,,,
VTI,Ind,VTI_aa,ayaan,ayaa,NONE,XSubj,0SgObj,Dub,Neg,MISSING,,,,,,,,
VTI,Ind,VTI_am,waabandan,waaband,NONE,XSubj,0SgObj,Dub,Neg,MISSING,,,,,,,,
VTI,Ind,VTI_i,miijin,miiji,NONE,XSubj,0SgObj,Dub,Neg,MISSING,,,,,,,,
VTI,Ind,VTI_oo,wanitoon,wanit,NONE,XSubj,0SgObj,Dub,Neg,MISSING,,,,,,,,
VTI,Ind,VTI_aa,ayaan,ayaa,NONE,1SgSubj,0PlObj,Dub,Pos,nidayaanaadogenan,ni<<ayaa>>naadogenan,JDN-2010-MS-VTI-p19,,,,,,
VTI,Ind,VTI_am,waabandan,waaband,NONE,1SgSubj,0PlObj,Dub,Pos,niwaabandaanaadogenan,ni<<waaband>>aanaadogenan,JDN-2010-MS-VTI-p17,,,,,,
VTI,Ind,VTI_i,miijin,miiji,NONE,1SgSubj,0PlObj,Dub,Pos,nimiijinaadogenan,ni<<miiji>>naadogenan,JDN-2010-MS-VTI-p17,,,,,,
VTI,Ind,VTI_oo,wanitoon,wanit,NONE,1SgSubj,0PlObj,Dub,Pos,niwanitoonaadogenan,ni<<wanit>>oonaadogenan,JDN-2010-MS-VTI-p17,,,,,,
VTI,Ind,VTI_aa,ayaan,ayaa,NONE,2PlSubj,0PlObj,Dub,Pos,gidayaanaawaadogenan,gi<<ayaa>>naawaadogenan,JDN-2010-MS-VTI-p19,,,,,,
VTI,Ind,VTI_am,waabandan,waaband,NONE,2PlSubj,0PlObj,Dub,Pos,giwaabandaanaawaadogenan,gi<<waaband>>aanaawaadogenan,JDN-2010-MS-VTI-p17,,,,,,
VTI,Ind,VTI_i,miijin,miiji,NONE,2PlSubj,0PlObj,Dub,Pos,gimiijinaawaadogenan,gi<<miiji>>naawaadogenan,JDN-2010-MS-VTI-p17,,,,,,
VTI,Ind,VTI_oo,wanitoon,wanit,NONE,2PlSubj,0PlObj,Dub,Pos,giwanitoonaawaadogenan,gi<<wanit>>oonaawaadogenan,JDN-2010-MS-VTI-p17,,,,,,
VTI,Ind,VTI_aa,ayaan,ayaa,NONE,2SgSubj,0PlObj,Dub,Pos,gidayaanaadogenan,gi<<ayaa>>naadogenan,JDN-2010-MS-VTI-p19,,,,,,
VTI,Ind,VTI_am,waabandan,waaband,NONE,2SgSubj,0PlObj,Dub,Pos,giwaabandaanaadogenan,gi<<waaband>>aanaadogenan,JDN-2010-MS-VTI-p17,,,,,,
VTI,Ind,VTI_i,miijin,miiji,NONE,2SgSubj,0PlObj,Dub,Pos,gimiijinaadogenan,gi<<miiji>>naadogenan,JDN-2010-MS-VTI-p17,,,,,,
VTI,Ind,VTI_oo,wanitoon,wanit,NONE,2SgSubj,0PlObj,Dub,Pos,giwanitoonaadogenan,gi<<wanit>>oonaadogenan,JDN-2010-MS-VTI-p17,,,,,,
VTI,Ind,VTI_aa,ayaan,ayaa,NONE,3PlObvSubj,0PlObj,Dub,Pos,odayaaninaadogenan,o<<ayaa>>ninaadogenan,JDN-2010-MS-VTI-p19,,,,,,
VTI,Ind,VTI_am,waabandan,waaband,NONE,3PlObvSubj,0PlObj,Dub,Pos,owaabandaminaadogenan,o<<waaband>>aminaadogenan,JDN-2010-MS-VTI-p17,owaabandaaninaadogenan,o<<waaband>>aaninaadogenan,JDN-2010-MS-VTI-p17,,,
VTI,Ind,VTI_i,miijin,miiji,NONE,3PlObvSubj,0PlObj,Dub,Pos,omiijininaadogenan,o<<miiji>>ninaadogenan,JDN-2010-MS-VTI-p17,,,,,,
VTI,Ind,VTI_oo,wanitoon,wanit,NONE,3PlObvSubj,0PlObj,Dub,Pos,owanitooninaadogenan,o<<wanit>>ooninaadogenan,JDN-2010-MS-VTI-p17,,,,,,
VTI,Ind,VTI_aa,ayaan,ayaa,NONE,3PlProxSubj,0PlObj,Dub,Pos,odayaanaawaadogenan,o<<ayaa>>naawaadogenan,JDN-2010-MS-VTI-p19,,,,,,
VTI,Ind,VTI_am,waabandan,waaband,NONE,3PlProxSubj,0PlObj,Dub,Pos,owaabandaanaawaadogenan,o<<waaband>>aanaawaadogenan,JDN-2010-MS-VTI-p17,,,,,,
VTI,Ind,VTI_i,miijin,miiji,NONE,3PlProxSubj,0PlObj,Dub,Pos,omiijinaawaadogenan,o<<miiji>>naawaadogenan,JDN-2010-MS-VTI-p17,,,,,,
VTI,Ind,VTI_oo,wanitoon,wanit,NONE,3PlProxSubj,0PlObj,Dub,Pos,owanitoonaawaadogenan,o<<wanit>>oonaawaadogenan,JDN-2010-MS-VTI-p17,,,,,,
VTI,Ind,VTI_aa,ayaan,ayaa,NONE,3SgObvSubj,0PlObj,Dub,Pos,odayaaninaadogenan,o<<ayaa>>ninaadogenan,JDN-2010-MS-VTI-p19,,,,,,
