Paradigm,Order,Class,Lemma,Stem,Head,Subject,Object,Mode,Negation,Form1Surface,Form1Split,Form1Source,Form2Surface,Form2Split,Form2Source,,,
VAI,Cnj,VAI_rfx,waabandizo,waabandizo,NONE,3PlProxSubj,NONE,DubPrt,Neg,waabandizosiiwaagobanen,<<waabandizo>>siiwaagobanen,JDN-2010-MS-VAI-p36,,,,,,
VAI,Cnj,VAI_rfx,waabandizo,waabandizo,NONE,3PlProxSubj,NONE,DubPrt,Pos,waabandizowaagobanen,<<waabandizo>>waagobanen,JDN-2010-MS-VAI-p35,,,,,,
VAI,Cnj,VAI_rfx,waabandizo,waabandizo,NONE,3SgObvSubj,NONE,DubPrt,Neg,waabandizosiinigobanen,<<waabandizo>>siinigobanen,JDN-2010-MS-VAI-p36,,,,,,
VAI,Cnj,VAI_rfx,waabandizo,waabandizo,NONE,3SgObvSubj,NONE,DubPrt,Pos,waabandizonigobanen,<<waabandizo>>nigobanen,JDN-2010-MS-VAI-p35,,,,,,
VAI,Cnj,VAI_rfx,waabandizo,waabandizo,NONE,3SgProxSubj,NONE,DubPrt,Neg,waabandizosiigobanen,<<waabandizo>>siigobanen,JDN-2010-MS-VAI-p36,,,,,,
VAI,Cnj,VAI_rfx,waabandizo,waabandizo,NONE,3SgProxSubj,NONE,DubPrt,Pos,waabandizogobanen,<<waabandizo>>gobanen,JDN-2010-MS-VAI-p35,,,,,,
VAI,Cnj,VAI_rfx,waabandizo,waabandizo,NONE,ExclSubj,NONE,DubPrt,Neg,waabandizosiiwaangibanen,<<waabandizo>>siiwaangibanen,JDN-2010-MS-VAI-p36,,,,,,
VAI,Cnj,VAI_rfx,waabandizo,waabandizo,NONE,ExclSubj,NONE,DubPrt,Pos,waabandizowaangibanen,<<waabandizo>>waangibanen,JDN-2010-MS-VAI-p35,,,,,,
VAI,Cnj,VAI_rfx,waabandizo,waabandizo,NONE,InclSubj,NONE,DubPrt,Neg,waabandizosiiwangibanen,<<waabandizo>>siiwangibanen,JDN-2010-MS-VAI-p36,,,,,,
VAI,Cnj,VAI_rfx,waabandizo,waabandizo,NONE,InclSubj,NONE,DubPrt,Pos,waabandizowangibanen,<<waabandizo>>wangibanen,JDN-2010-MS-VAI-p35,,,,,,
