Paradigm,Class,Lemma,Stem,PersPoss,Dim,Poss,Pej,Pret,Basic,Form1Surface,Form1Split,Form1Source,Form2Surface,Form2Split,Form2Source,Form3Surface,Form3Split,Form3Source
NAD,NAD_Cy,shkanzhy,shkanzhy2,1SgPoss,Dim,NONE,NONE,Pret,ObvSg,nishkanzhiinsibaniin,n<<shkanzhy2>>iinsibaniin,JDN-2010-Nouns,nishkanzhiinsibanen,n<<shkanzhy2>>iinsibanen,GUESS,,,
NAD,NAD_Cy,shkanzhy,shkanzhy2,1SgPoss,Dim,Poss,NONE,Pret,ObvSg,nishkanzhiinsimibaniin,n<<shkanzhy2>>iinsimibaniin,JDN-2010-Nouns,nishkanzhiinsimibanen,n<<shkanzhy2>>iinsimibanen,GUESS,,,
NAD,NAD_Cy,shkanzhy,shkanzhy2,1SgPoss,NONE,NONE,NONE,Pret,ProxPl,nishkanzhiibaniig,n<<shkanzhy2>>iibaniig,JDN-2010-Nouns,nishkanzhiibaneg,n<<shkanzhy2>>iibaneg,GUESS,,,
NAD,NAD_Cy,shkanzhy,shkanzhy2,1SgPoss,NONE,Poss,NONE,Pret,ProxPl,nishkanzhiimibaniig,n<<shkanzhy2>>iimibaniig,JDN-2010-Nouns,nishkanzhiimibaneg,n<<shkanzhy2>>iimibaneg,GUESS,,,
NAD,NAD_Cy,shkanzhy,shkanzhy2,1SgPoss,Dim,NONE,NONE,Pret,ProxPl,nishkanzhiinsibaniig,n<<shkanzhy2>>iinsibaniig,JDN-2010-Nouns,nishkanzhiinsibaneg,n<<shkanzhy2>>iinsibaneg,GUESS,,,
NAD,NAD_Cy,shkanzhy,shkanzhy2,1SgPoss,Dim,Poss,NONE,Pret,ProxPl,nishkanzhiinsimibaniig,n<<shkanzhy2>>iinsimibaniig,JDN-2010-Nouns,nishkanzhiinsimibaneg,n<<shkanzhy2>>iinsimibaneg,GUESS,,,
NAD,NAD_Cy,shkanzhy,shkanzhy2,1SgPoss,NONE,NONE,NONE,Pret,ProxSg,nishkanzhiiban,n<<shkanzhy2>>iiban,JDN-2010-Nouns,,,,,,
NAD,NAD_Cy,shkanzhy,shkanzhy2,1SgPoss,NONE,Poss,NONE,Pret,ProxSg,nishkanzhiimiban,n<<shkanzhy2>>iimiban,JDN-2010-Nouns,,,,,,
NAD,NAD_Cy,shkanzhy,shkanzhy2,1SgPoss,Dim,NONE,NONE,Pret,ProxSg,nishkanzhiinsiban,n<<shkanzhy2>>iinsiban,JDN-2010-Nouns,,,,,,
NAD,NAD_Cy,shkanzhy,shkanzhy2,1SgPoss,Dim,Poss,NONE,Pret,ProxSg,nishkanzhiinsimiban,n<<shkanzhy2>>iinsimiban,JDN-2010-Nouns,,,,,,
NAD,NAD_Cy,shkanzhy,shkanzhy2,2PlPoss,NONE,NONE,NONE,NONE,Loc,gishkanzhiiwaang,g<<shkanzhy2>>iiwaang,JDN-2010-Nouns,,,,,,
NAD,NAD_Cy,shkanzhy,shkanzhy2,2PlPoss,NONE,Poss,NONE,NONE,Loc,gishkanzhiimiwaang,g<<shkanzhy2>>iimiwaang,JDN-2010-Nouns,,,,,,
NAD,NAD_Cy,shkanzhy,shkanzhy2,2PlPoss,Dim,NONE,NONE,NONE,Loc,gishkanzhiinsiwaang,g<<shkanzhy2>>iinsiwaang,JDN-2010-Nouns,,,,,,
NAD,NAD_Cy,shkanzhy,shkanzhy2,2PlPoss,Dim,Poss,NONE,NONE,Loc,gishkanzhiinsimiwaang,g<<shkanzhy2>>iinsimiwaang,JDN-2010-Nouns,,,,,,
NAD,NAD_Cy,shkanzhy,shkanzhy2,2PlPoss,NONE,NONE,Pej,NONE,Loc,gishkanzhiishiwaang,g<<shkanzhy2>>iishiwaang,JDN-2010-Nouns,,,,,,
NAD,NAD_Cy,shkanzhy,shkanzhy2,2PlPoss,NONE,Poss,Pej,NONE,Loc,gishkanzhiimishiwaang,g<<shkanzhy2>>iimishiwaang,JDN-2010-Nouns,,,,,,
NAD,NAD_Cy,shkanzhy,shkanzhy2,2PlPoss,Dim,NONE,Pej,NONE,Loc,gishkanzhiinzhishiwaang,g<<shkanzhy2>>iinzhishiwaang,JDN-2010-Nouns,,,,,,
NAD,NAD_Cy,shkanzhy,shkanzhy2,2PlPoss,Dim,Poss,Pej,NONE,Loc,gishkanzhiinsimishiwaang,g<<shkanzhy2>>iinsimishiwaang,JDN-2010-Nouns,,,,,,
NAD,NAD_Cy,shkanzhy,shkanzhy2,2PlPoss,NONE,NONE,NONE,NONE,ObvPl,gishkanzhiiwaa',g<<shkanzhy2>>iiwaa',JDN-2010-Nouns,gishkanzhiiwaan,g<<shkanzhy2>>iiwaan,JDN-2010-Nouns,,,
NAD,NAD_Cy,shkanzhy,shkanzhy2,2PlPoss,NONE,Poss,NONE,NONE,ObvPl,gishkanzhiimiwaa',g<<shkanzhy2>>iimiwaa',JDN-2010-Nouns,gishkanzhiimiwaan,g<<shkanzhy2>>iimiwaan,JDN-2010-Nouns,,,
