Paradigm,Class,Lemma,Stem,PersPoss,Dim,Poss,Pej,Pret,Basic,Form1Surface,Form1Split,Form1Source
NID,NID_Cw,gidigw,<<gidigw2>>,3PlProxPoss,Dim,Poss,NONE,NONE,Sg,ogidigoonsimiwaa,w<<gidigw2>>oonsimiwaa,JDN-2010-Nouns
NID,NID_Cw,gidigw,<<gidigw2>>,3SgObvPoss,Dim,Poss,NONE,NONE,Sg,ogidigoonsimini,w<<gidigw2>>oonsiminiw1,JDN-2010-Nouns
NID,NID_Cw,gidigw,<<gidigw2>>,3PlObvPoss,Dim,Poss,NONE,NONE,Sg,ogidigoonsimini,w<<gidigw2>>oonsiminiw1,GUESS
NID,NID_Cw,gidigw,<<gidigw2>>,1SgPoss,Dim,Poss,NONE,NONE,Loc,nigidigoonsiming,n<<gidigw2>>oonsiming,JDN-2010-Nouns
NID,NID_Cw,gidigw,<<gidigw2>>,ExclPoss,Dim,Poss,NONE,NONE,Loc,nigidigoonsiminaang,n<<gidigw2>>oonsiminaang,JDN-2010-Nouns
NID,NID_Cw,gidigw,<<gidigw2>>,InclPoss,Dim,Poss,NONE,NONE,Loc,gigidigoonsiminaang,g<<gidigw2>>oonsiminaang,JDN-2010-Nouns
NID,NID_Cw,gidigw,<<gidigw2>>,2SgPoss,Dim,Poss,NONE,NONE,Loc,gigidigoonsiming,g<<gidigw2>>oonsiming,JDN-2010-Nouns
NID,NID_Cw,gidigw,<<gidigw2>>,2PlPoss,Dim,Poss,NONE,NONE,Loc,gigidigoonsimiwaang,g<<gidigw2>>oonsimiwaang,JDN-2010-Nouns
NID,NID_Cw,gidigw,<<gidigw2>>,3SgProxPoss,Dim,Poss,NONE,NONE,Loc,ogidigoonsiming,w<<gidigw2>>oonsiming,JDN-2010-Nouns
NID,NID_Cw,gidigw,<<gidigw2>>,3PlProxPoss,Dim,Poss,NONE,NONE,Loc,ogidigoonsimiwaang,w<<gidigw2>>oonsimiwaang,JDN-2010-Nouns
NID,NID_Cw,gidigw,<<gidigw2>>,3SgObvPoss,Dim,Poss,NONE,NONE,Loc,ogidigoonsimining,w<<gidigw2>>oonsimining,JDN-2010-Nouns
NID,NID_Cw,gidigw,<<gidigw2>>,3PlObvPoss,Dim,Poss,NONE,NONE,Loc,ogidigoonsimining,w<<gidigw2>>oonsimining,GUESS
NID,NID_Cw,gidigw,<<gidigw2>>,1SgPoss,NONE,NONE,Pej,NONE,Pl,nigidigoshan,n<<gidigw2>>oshan,JDN-2010-Nouns
NID,NID_Cw,gidigw,<<gidigw2>>,ExclPoss,NONE,NONE,Pej,NONE,Pl,nigidigoshinaanin,n<<gidigw2>>oshinaanin,JDN-2010-Nouns
NID,NID_Cw,gidigw,<<gidigw2>>,InclPoss,NONE,NONE,Pej,NONE,Pl,gigidigoshinaanin,g<<gidigw2>>oshinaanin,JDN-2010-Nouns
NID,NID_Cw,gidigw,<<gidigw2>>,2SgPoss,NONE,NONE,Pej,NONE,Pl,gigidigoshan,g<<gidigw2>>oshan,JDN-2010-Nouns
NID,NID_Cw,gidigw,<<gidigw2>>,2PlPoss,NONE,NONE,Pej,NONE,Pl,gigidigoshiwaan,g<<gidigw2>>oshiwaan,JDN-2010-Nouns
NID,NID_Cw,gidigw,<<gidigw2>>,3SgProxPoss,NONE,NONE,Pej,NONE,Pl,ogidigoshan,w<<gidigw2>>oshan,JDN-2010-Nouns
NID,NID_Cw,gidigw,<<gidigw2>>,3PlProxPoss,NONE,NONE,Pej,NONE,Pl,ogidigoshiwaan,w<<gidigw2>>oshiwaan,JDN-2010-Nouns
NID,NID_Cw,gidigw,<<gidigw2>>,3SgObvPoss,NONE,NONE,Pej,NONE,Pl,ogidigoshini,w<<gidigw2>>oshiniw1,JDN-2010-Nouns
NID,NID_Cw,gidigw,<<gidigw2>>,3PlObvPoss,NONE,NONE,Pej,NONE,Pl,ogidigoshini,w<<gidigw2>>oshiniw1,GUESS
NID,NID_Cw,gidigw,<<gidigw2>>,1SgPoss,NONE,NONE,Pej,NONE,Sg,nigidigosh,n<<gidigw2>>osh,JDN-2010-Nouns
NID,NID_Cw,gidigw,<<gidigw2>>,ExclPoss,NONE,NONE,Pej,NONE,Sg,nigidigoshinaan,n<<gidigw2>>oshinaan,JDN-2010-Nouns
NID,NID_Cw,gidigw,<<gidigw2>>,InclPoss,NONE,NONE,Pej,NONE,Sg,gigidigoshinaan,g<<gidigw2>>oshinaan,JDN-2010-Nouns
NID,NID_Cw,gidigw,<<gidigw2>>,2SgPoss,NONE,NONE,Pej,NONE,Sg,gigidigosh,g<<gidigw2>>osh,JDN-2010-Nouns
NID,NID_Cw,gidigw,<<gidigw2>>,2PlPoss,NONE,NONE,Pej,NONE,Sg,gigidigoshiwaa,g<<gidigw2>>oshiwaa,JDN-2010-Nouns
NID,NID_Cw,gidigw,<<gidigw2>>,3SgProxPoss,NONE,NONE,Pej,NONE,Sg,ogidigosh,w<<gidigw2>>osh,JDN-2010-Nouns
NID,NID_Cw,gidigw,<<gidigw2>>,3PlProxPoss,NONE,NONE,Pej,NONE,Sg,ogidigoshiwaa,w<<gidigw2>>oshiwaa,JDN-2010-Nouns
NID,NID_Cw,gidigw,<<gidigw2>>,3SgObvPoss,NONE,NONE,Pej,NONE,Sg,ogidigoshini,w<<gidigw2>>oshiniw1,JDN-2010-Nouns
NID,NID_Cw,gidigw,<<gidigw2>>,3PlObvPoss,NONE,NONE,Pej,NONE,Sg,ogidigoshini,w<<gidigw2>>oshiniw1,GUESS
NID,NID_Cw,gidigw,<<gidigw2>>,1SgPoss,NONE,NONE,Pej,NONE,Loc,nigidigoshing,n<<gidigw2>>oshing,JDN-2010-Nouns
NID,NID_Cw,gidigw,<<gidigw2>>,ExclPoss,NONE,NONE,Pej,NONE,Loc,nigidigoshinaang,n<<gidigw2>>oshinaang,JDN-2010-Nouns
NID,NID_Cw,gidigw,<<gidigw2>>,InclPoss,NONE,NONE,Pej,NONE,Loc,gigidigoshinaang,g<<gidigw2>>oshinaang,JDN-2010-Nouns
NID,NID_Cw,gidigw,<<gidigw2>>,2SgPoss,NONE,NONE,Pej,NONE,Loc,gigidigoshing,g<<gidigw2>>oshing,JDN-2010-Nouns
NID,NID_Cw,gidigw,<<gidigw2>>,2PlPoss,NONE,NONE,Pej,NONE,Loc,gigidigoshiwaang,g<<gidigw2>>oshiwaang,JDN-2010-Nouns
NID,NID_Cw,gidigw,<<gidigw2>>,3SgProxPoss,NONE,NONE,Pej,NONE,Loc,ogidigoshing,w<<gidigw2>>oshing,JDN-2010-Nouns
