Paradigm,Class,Lemma,Stem,PersPoss,Dim,Poss,Pej,Pret,Basic,Form1Surface,Form1Split,Form1Source,Form2Surface,Form2Split,Form2Source
NI,NI_Cw,aniibiishibag,aniibiishibagw2,3SgObvPoss,Dim,NONE,Pej,NONE,Loc,odaniibiishibagoonzhishining,o<<aniibiishibagw2>>oonzhishining,JDN-2010-Nouns,,,
NI,NI_Cw,aniibiishibag,aniibiishibagw2,3PlObvPoss,Dim,NONE,Pej,NONE,Loc,odaniibiishibagoonzhishining,o<<aniibiishibagw2>>oonzhishining,GUESS,,,
NI,NI_Cw,aniibiishibag,aniibiishibagw2,1SgPoss,Dim,Poss,Pej,NONE,Loc,nindaniibiishibagoonsimishing,ni<<aniibiishibagw2>>oonsimishing,JDN-2010-Nouns,,,
NI,NI_Cw,aniibiishibag,aniibiishibagw2,ExclPoss,Dim,Poss,Pej,NONE,Loc,nindaniibiishibagoonsimishinaang,ni<<aniibiishibagw2>>oonsimishinaang,JDN-2010-Nouns,,,
NI,NI_Cw,aniibiishibag,aniibiishibagw2,InclPoss,Dim,Poss,Pej,NONE,Loc,gidaniibiishibagoonsimishinaang,gi<<aniibiishibagw2>>oonsimishinaang,JDN-2010-Nouns,,,
NI,NI_Cw,aniibiishibag,aniibiishibagw2,2SgPoss,Dim,Poss,Pej,NONE,Loc,gidaniibiishibagoonsimishing,gi<<aniibiishibagw2>>oonsimishing,JDN-2010-Nouns,,,
NI,NI_Cw,aniibiishibag,aniibiishibagw2,2PlPoss,Dim,Poss,Pej,NONE,Loc,gidaniibiishibagoonsimishiwaang,gi<<aniibiishibagw2>>oonsimishiwaang,JDN-2010-Nouns,,,
NI,NI_Cw,aniibiishibag,aniibiishibagw2,3SgProxPoss,Dim,Poss,Pej,NONE,Loc,odaniibiishibagoonsimishing,o<<aniibiishibagw2>>oonsimishing,JDN-2010-Nouns,,,
NI,NI_Cw,aniibiishibag,aniibiishibagw2,3PlProxPoss,Dim,Poss,Pej,NONE,Loc,odaniibiishibagoonsimishiwaang,o<<aniibiishibagw2>>oonsimishiwaang,JDN-2010-Nouns,,,
NI,NI_Cw,aniibiishibag,aniibiishibagw2,3SgObvPoss,Dim,Poss,Pej,NONE,Loc,odaniibiishibagoonsimishining,o<<aniibiishibagw2>>oonsimishining,JDN-2010-Nouns,,,
NI,NI_Cw,aniibiishibag,aniibiishibagw2,3PlObvPoss,Dim,Poss,Pej,NONE,Loc,odaniibiishibagoonsimishining,o<<aniibiishibagw2>>oonsimishining,GUESS,,,
NI,NI_Cw,aniibiishibag,aniibiishibagw2,NONE,NONE,NONE,NONE,NONE,Pl,aniibiishibagoon,<<aniibiishibagw2>>oon,JDN-2010-Nouns,,,
NI,NI_Cw,aniibiishibag,aniibiishibagw2,NONE,Dim,NONE,NONE,NONE,Pl,aniibiishibagoonsan,<<aniibiishibagw2>>oonsan,JDN-2010-Nouns,,,
NI,NI_Cw,aniibiishibag,aniibiishibagw2,NONE,NONE,NONE,Pej,NONE,Pl,aniibiishibagoshan,<<aniibiishibagw2>>oshan,JDN-2010-Nouns,,,
