Paradigm,Class,Lemma,Stem,PersPoss,Dim,Poss,Pej,Pret,Basic,Form1Surface,Form1Split,Form1Source,Form2Surface,Form2Split,Form2Source,Form3Surface,Form3Split,Form3Source
NI,NI_VVw,moo,moow2,2PlPoss,NONE,Poss,NONE,NONE,Loc,gimoomiwaang,gi<<moow2>>miwaang,GUESS,,,,,,
NI,NI_VVw,moo,moow2,2PlPoss,Dim,NONE,NONE,NONE,Loc,gimoonsiwaang,gi<<moow2>>nsiwaang,GUESS,,,,,,
NI,NI_VVw,moo,moow2,2PlPoss,Dim,Poss,NONE,NONE,Loc,gimoonsimiwaang,gi<<moow2>>nsimiwaang,GUESS,,,,,,
NI,NI_VVw,moo,moow2,2PlPoss,NONE,NONE,Pej,NONE,Loc,gimoowishiwaang,gi<<moow2>>ishiwaang,GUESS,,,,,,
NI,NI_VVw,moo,moow2,2PlPoss,NONE,Poss,Pej,NONE,Loc,gimoomishiwaang,gi<<moow2>>mishiwaang,GUESS,,,,,,
NI,NI_VVw,moo,moow2,2PlPoss,Dim,NONE,Pej,NONE,Loc,gimoonzhishiwaang,gi<<moow2>>nzhishiwaang,GUESS,,,,,,
NI,NI_VVw,moo,moow2,2PlPoss,Dim,Poss,Pej,NONE,Loc,gimoonsimishiwaang,gi<<moow2>>nsimishiwaang,GUESS,,,,,,
NI,NI_VVw,moo,moow2,2PlPoss,NONE,NONE,NONE,NONE,ObvPl,gimoowaa',gi<<moow2>>waa',GUESS,gimoowaan,gi<<moow2>>waan,GUESS,,,
NI,NI_VVw,moo,moow2,2PlPoss,NONE,Poss,NONE,NONE,ObvPl,gimoomiwaa',gi<<moow2>>miwaa',GUESS,gimoomiwaan,gi<<moow2>>miwaan,GUESS,,,
NI,NI_VVw,moo,moow2,2PlPoss,Dim,NONE,NONE,NONE,ObvPl,gimoonsiwaa',gi<<moow2>>nsiwaa',GUESS,gimoonsiwaan,gi<<moow2>>nsiwaan,GUESS,,,
NI,NI_VVw,moo,moow2,2PlPoss,Dim,Poss,NONE,NONE,ObvPl,gimoonsimiwaa',gi<<moow2>>nsimiwaa',GUESS,gimoonsimiwaan,gi<<moow2>>nsimiwaan,GUESS,,,
NI,NI_VVw,moo,moow2,2PlPoss,NONE,NONE,Pej,NONE,ObvPl,gimoowishiwaa',gi<<moow2>>ishiwaa',GUESS,gimoowishiwaan,gi<<moow2>>ishiwaan,GUESS,,,
NI,NI_VVw,moo,moow2,2PlPoss,NONE,Poss,Pej,NONE,ObvPl,gimoomishiwaa',gi<<moow2>>mishiwaa',GUESS,gimoomishiwaan,gi<<moow2>>mishiwaan,GUESS,,,
NI,NI_VVw,moo,moow2,2PlPoss,Dim,NONE,Pej,NONE,ObvPl,gimoonzhishiwaa',gi<<moow2>>nzhishiwaa',GUESS,gimoonzhishiwaan,gi<<moow2>>nzhishiwaan,GUESS,,,
NI,NI_VVw,moo,moow2,2PlPoss,Dim,Poss,Pej,NONE,ObvPl,gimoonsimishiwaa',gi<<moow2>>nsimishiwaa',GUESS,gimoonsimishiwaan,gi<<moow2>>nsimishiwaan,GUESS,,,
NI,NI_VVw,moo,moow2,2PlPoss,NONE,NONE,NONE,NONE,ObvSg,gimoowaan,gi<<moow2>>waan,GUESS,,,,,,
NI,NI_VVw,moo,moow2,2PlPoss,NONE,Poss,NONE,NONE,ObvSg,gimoomiwaan,gi<<moow2>>miwaan,GUESS,,,,,,
NI,NI_VVw,moo,moow2,2PlPoss,Dim,NONE,NONE,NONE,ObvSg,gimoonsiwaan,gi<<moow2>>nsiwaan,GUESS,,,,,,
NI,NI_VVw,moo,moow2,2PlPoss,Dim,Poss,NONE,NONE,ObvSg,gimoonsimiwaan,gi<<moow2>>nsimiwaan,GUESS,,,,,,
NI,NI_VVw,moo,moow2,2PlPoss,NONE,NONE,Pej,NONE,ObvSg,gimoowishiwaan,gi<<moow2>>ishiwaan,GUESS,,,,,,
NI,NI_VVw,moo,moow2,2PlPoss,NONE,Poss,Pej,NONE,ObvSg,gimoomishiwaan,gi<<moow2>>mishiwaan,GUESS,,,,,,
NI,NI_VVw,moo,moow2,2PlPoss,Dim,NONE,Pej,NONE,ObvSg,gimoonzhishiwaan,gi<<moow2>>nzhishiwaan,GUESS,,,,,,
NI,NI_VVw,moo,moow2,2PlPoss,Dim,Poss,Pej,NONE,ObvSg,gimoonsimishiwaan,gi<<moow2>>nsimishiwaan,GUESS,,,,,,
NI,NI_VVw,moo,moow2,2PlPoss,NONE,NONE,NONE,NONE,ProxPl,gimoowaag,gi<<moow2>>waag,GUESS,,,,,,
NI,NI_VVw,moo,moow2,2PlPoss,NONE,Poss,NONE,NONE,ProxPl,gimoomiwaag,gi<<moow2>>miwaag,GUESS,,,,,,
NI,NI_VVw,moo,moow2,2PlPoss,Dim,NONE,NONE,NONE,ProxPl,gimoonsiwaag,gi<<moow2>>nsiwaag,GUESS,,,,,,
NI,NI_VVw,moo,moow2,2PlPoss,Dim,Poss,NONE,NONE,ProxPl,gimoonsimiwaag,gi<<moow2>>nsimiwaag,GUESS,,,,,,
NI,NI_VVw,moo,moow2,2PlPoss,NONE,NONE,Pej,NONE,ProxPl,gimoowishiwaag,gi<<moow2>>ishiwaag,GUESS,,,,,,
NI,NI_VVw,moo,moow2,2PlPoss,NONE,Poss,Pej,NONE,ProxPl,gimoomishiwaag,gi<<moow2>>mishiwaag,GUESS,,,,,,
NI,NI_VVw,moo,moow2,2PlPoss,Dim,NONE,Pej,NONE,ProxPl,gimoonzhishiwaag,gi<<moow2>>nzhishiwaag,GUESS,,,,,,
NI,NI_VVw,moo,moow2,2PlPoss,Dim,Poss,Pej,NONE,ProxPl,gimoonsimishiwaag,gi<<moow2>>nsimishiwaag,GUESS,,,,,,
NI,NI_VVw,moo,moow2,2PlPoss,NONE,NONE,NONE,NONE,ProxSg,gimoowaa,gi<<moow2>>waa,GUESS,,,,,,
NI,NI_VVw,moo,moow2,2PlPoss,NONE,Poss,NONE,NONE,ProxSg,gimoomiwaa,gi<<moow2>>miwaa,GUESS,,,,,,
NI,NI_VVw,moo,moow2,2PlPoss,Dim,NONE,NONE,NONE,ProxSg,gimoonsiwaa,gi<<moow2>>nsiwaa,GUESS,,,,,,
NI,NI_VVw,moo,moow2,2PlPoss,Dim,Poss,NONE,NONE,ProxSg,gimoonsimiwaa,gi<<moow2>>nsimiwaa,GUESS,,,,,,
NI,NI_VVw,moo,moow2,2PlPoss,NONE,NONE,Pej,NONE,ProxSg,gimoowishiwaa,gi<<moow2>>ishiwaa,GUESS,,,,,,
NI,NI_VVw,moo,moow2,2PlPoss,NONE,Poss,Pej,NONE,ProxSg,gimoomishiwaa,gi<<moow2>>mishiwaa,GUESS,,,,,,
NI,NI_VVw,moo,moow2,2PlPoss,Dim,NONE,Pej,NONE,ProxSg,gimoonzhishiwaa,gi<<moow2>>nzhishiwaa,GUESS,,,,,,
NI,NI_VVw,moo,moow2,2PlPoss,Dim,Poss,Pej,NONE,ProxSg,gimoonsimishiwaa,gi<<moow2>>nsimishiwaa,GUESS,,,,,,
NI,NI_VVw,moo,moow2,2PlPoss,NONE,NONE,NONE,NONE,LocDist,gimoowaakaang,gi<<moow2>>waakaang,GUESS,,,,,,
NI,NI_VVw,moo,moow2,2PlPoss,NONE,Poss,NONE,NONE,LocDist,gimoomiwaakaang,gi<<moow2>>miwaakaang,GUESS,,,,,,
NI,NI_VVw,moo,moow2,2PlPoss,Dim,NONE,NONE,NONE,LocDist,gimoonsiwaakaang,gi<<moow2>>nsiwaakaang,GUESS,,,,,,
NI,NI_VVw,moo,moow2,2PlPoss,Dim,Poss,NONE,NONE,LocDist,gimoonsimiwaakaang,gi<<moow2>>nsimiwaakaang,GUESS,,,,,,
NI,NI_VVw,moo,moow2,2PlPoss,NONE,NONE,Pej,NONE,LocDist,gimoowishiwaakaang,gi<<moow2>>ishiwaakaang,GUESS,,,,,,
NI,NI_VVw,moo,moow2,2PlPoss,NONE,Poss,Pej,NONE,LocDist,gimoomishiwaakaang,gi<<moow2>>mishiwaakaang,GUESS,,,,,,
NI,NI_VVw,moo,moow2,2PlPoss,Dim,NONE,Pej,NONE,LocDist,gimoonzhishiwaakaang,gi<<moow2>>nzhishiwaakaang,GUESS,,,,,,
NI,NI_VVw,moo,moow2,2PlPoss,Dim,Poss,Pej,NONE,LocDist,gimoonsimishiwaakaang,gi<<moow2>>nsimishiwaakaang,GUESS,,,,,,
NI,NI_VVw,moo,moow2,2PlPoss,NONE,NONE,NONE,Pret,ObvPl,gimoowaabanii',gi<<moow2>>waabanii',GUESS,gimoowaabaniin,gi<<moow2>>waabaniin,GUESS,gimoowaabanen,gi<<moow2>>waabanen,GUESS
