Paradigm,Class,Lemma,Stem,PersPoss,Dim,Poss,Pej,Pret,Basic,Form1Surface,Form1Split,Form1Source
NI,NI_aa,mashkimod,mashkimod,2SgPoss,NONE,NONE,Pej,NONE,Pl,gimashkimodaashan,gi<<mashkimod>>aashan,JDN-2010-Nouns
NI,NI_aa,mashkimod,mashkimod,2PlPoss,NONE,NONE,Pej,NONE,Pl,gimashkimodaashiwaan,gi<<mashkimod>>aashiwaan,JDN-2010-Nouns
NI,NI_aa,mashkimod,mashkimod,3SgProxPoss,NONE,NONE,Pej,NONE,Pl,omashkimodaashan,o<<mashkimod>>aashan,JDN-2010-Nouns
NI,NI_aa,mashkimod,mashkimod,3PlProxPoss,NONE,NONE,Pej,NONE,Pl,omashkimodaashiwaan,o<<mashkimod>>aashiwaan,JDN-2010-Nouns
NI,NI_aa,mashkimod,mashkimod,3SgObvPoss,NONE,NONE,Pej,NONE,Pl,omashkimodaashini,o<<mashkimod>>aashiniw1,JDN-2010-Nouns
NI,NI_aa,mashkimod,mashkimod,3PlObvPoss,NONE,NONE,Pej,NONE,Pl,omashkimodaashini,o<<mashkimod>>aashiniw1,GUESS
NI,NI_aa,mashkimod,mashkimod,1SgPoss,NONE,Poss,Pej,NONE,Pl,nimashkimodaamishan,ni<<mashkimod>>aamishan,JDN-2010-Nouns
NI,NI_aa,mashkimod,mashkimod,ExclPoss,NONE,Poss,Pej,NONE,Pl,nimashkimodaamishinaanin,ni<<mashkimod>>aamishinaanin,JDN-2010-Nouns
NI,NI_aa,mashkimod,mashkimod,InclPoss,NONE,Poss,Pej,NONE,Pl,gimashkimodaamishinaanin,gi<<mashkimod>>aamishinaanin,JDN-2010-Nouns
NI,NI_aa,mashkimod,mashkimod,2SgPoss,NONE,Poss,Pej,NONE,Pl,gimashkimodaamishan,gi<<mashkimod>>aamishan,JDN-2010-Nouns
NI,NI_aa,mashkimod,mashkimod,2PlPoss,NONE,Poss,Pej,NONE,Pl,gimashkimodaamishiwaan,gi<<mashkimod>>aamishiwaan,JDN-2010-Nouns
NI,NI_aa,mashkimod,mashkimod,3SgProxPoss,NONE,Poss,Pej,NONE,Pl,omashkimodaamishan,o<<mashkimod>>aamishan,JDN-2010-Nouns
NI,NI_aa,mashkimod,mashkimod,3PlProxPoss,NONE,Poss,Pej,NONE,Pl,omashkimodaamishiwaan,o<<mashkimod>>aamishiwaan,JDN-2010-Nouns
NI,NI_aa,mashkimod,mashkimod,3SgObvPoss,NONE,Poss,Pej,NONE,Pl,omashkimodaamishini,o<<mashkimod>>aamishiniw1,JDN-2010-Nouns
NI,NI_aa,mashkimod,mashkimod,3PlObvPoss,NONE,Poss,Pej,NONE,Pl,omashkimodaamishini,o<<mashkimod>>aamishiniw1,GUESS
NI,NI_aa,mashkimod,mashkimod,1SgPoss,NONE,NONE,NONE,Pret,Pl,nimashkimodaabaniin,ni<<mashkimod>>aabaniin,JDN-2010-Nouns
NI,NI_aa,mashkimod,mashkimod,ExclPoss,NONE,NONE,NONE,Pret,Pl,nimashkimodaanaabaniin,ni<<mashkimod>>aanaabaniin,JDN-2010-Nouns
NI,NI_aa,mashkimod,mashkimod,InclPoss,NONE,NONE,NONE,Pret,Pl,gimashkimodaanaabaniin,gi<<mashkimod>>aanaabaniin,JDN-2010-Nouns
NI,NI_aa,mashkimod,mashkimod,2SgPoss,NONE,NONE,NONE,Pret,Pl,gimashkimodaabaniin,gi<<mashkimod>>aabaniin,JDN-2010-Nouns
NI,NI_aa,mashkimod,mashkimod,2PlPoss,NONE,NONE,NONE,Pret,Pl,gimashkimodaawaabaniin,gi<<mashkimod>>aawaabaniin,JDN-2010-Nouns
NI,NI_aa,mashkimod,mashkimod,3SgProxPoss,NONE,NONE,NONE,Pret,Pl,omashkimodaabaniin,o<<mashkimod>>aabaniin,JDN-2010-Nouns
NI,NI_aa,mashkimod,mashkimod,3PlProxPoss,NONE,NONE,NONE,Pret,Pl,omashkimodaawaabaniin,o<<mashkimod>>aawaabaniin,JDN-2010-Nouns
NI,NI_aa,mashkimod,mashkimod,3SgObvPoss,NONE,NONE,NONE,Pret,Pl,omashkimodaaniban,o<<mashkimod>>aaniban,JDN-2010-Nouns
NI,NI_aa,mashkimod,mashkimod,3PlObvPoss,NONE,NONE,NONE,Pret,Pl,omashkimodaaniban,o<<mashkimod>>aaniban,GUESS
NI,NI_aa,mashkimod,mashkimod,1SgPoss,NONE,Poss,NONE,Pret,Pl,nimashkimodaamibaniin,ni<<mashkimod>>aamibaniin,JDN-2010-Nouns
NI,NI_aa,mashkimod,mashkimod,ExclPoss,NONE,Poss,NONE,Pret,Pl,nimashkimodaaminaabaniin,ni<<mashkimod>>aaminaabaniin,JDN-2010-Nouns
NI,NI_aa,mashkimod,mashkimod,InclPoss,NONE,Poss,NONE,Pret,Pl,gimashkimodaaminaabaniin,gi<<mashkimod>>aaminaabaniin,JDN-2010-Nouns
NI,NI_aa,mashkimod,mashkimod,2SgPoss,NONE,Poss,NONE,Pret,Pl,gimashkimodaamibaniin,gi<<mashkimod>>aamibaniin,JDN-2010-Nouns
NI,NI_aa,mashkimod,mashkimod,2PlPoss,NONE,Poss,NONE,Pret,Pl,gimashkimodaamiwaabaniin,gi<<mashkimod>>aamiwaabaniin,JDN-2010-Nouns
