,Paradigm,Class,Lemma,Stem,PersPoss,Dim,Poss,Pej,Pret,Basic,Form1Surface,Form1Split,Form1Source,Form2Surface,Form2Split,Form2Source
31,NA,NA_Cy,asin,asiny2,NONE,Dim,NONE,NONE,Pret,ObvPl,asiniinsibanii',<<asiny2>>iinsibanii',JDN-2010-Nouns,asiniinsibaniin,<<asiny2>>iinsibaniin,JDN-2010-Nouns
51,NA,NA_Cy,asin,asiny2,1SgPoss,NONE,NONE,NONE,NONE,ObvPl,nindasinii',ni<<asiny2>>ii',JDN-2010-Nouns,nindasiniin,ni<<asiny2>>iin,JDN-2010-Nouns
52,NA,NA_Cy,asin,asiny2,ExclPoss,NONE,NONE,NONE,NONE,ObvPl,nindasiniinaani',ni<<asiny2>>iinaani',JDN-2010-Nouns,nindasiniinaanin,ni<<asiny2>>iinaanin,JDN-2010-Nouns
53,NA,NA_Cy,asin,asiny2,InclPoss,NONE,NONE,NONE,NONE,ObvPl,gidasiniinaani',gi<<asiny2>>iinaani',JDN-2010-Nouns,gidasiniinaanin,gi<<asiny2>>iinaanin,JDN-2010-Nouns
54,NA,NA_Cy,asin,asiny2,2SgPoss,NONE,NONE,NONE,NONE,ObvPl,gidasinii',gi<<asiny2>>ii',JDN-2010-Nouns,gidasiniin,gi<<asiny2>>iin,JDN-2010-Nouns
55,NA,NA_Cy,asin,asiny2,2PlPoss,NONE,NONE,NONE,NONE,ObvPl,gidasiniiwaa',gi<<asiny2>>iiwaa',JDN-2010-Nouns,gidasiniiwaan,gi<<asiny2>>iiwaan,JDN-2010-Nouns
56,NA,NA_Cy,asin,asiny2,3SgProxPoss,NONE,NONE,NONE,NONE,ObvPl,odasinii',o<<asiny2>>ii',JDN-2010-Nouns,odasiniin,o<<asiny2>>iin,JDN-2010-Nouns
57,NA,NA_Cy,asin,asiny2,3PlProxPoss,NONE,NONE,NONE,NONE,ObvPl,odasiniiwaa',o<<asiny2>>iiwaa',JDN-2010-Nouns,odasiniiwaan,o<<asiny2>>iiwaan,JDN-2010-Nouns
58,NA,NA_Cy,asin,asiny2,3SgObvPoss,NONE,NONE,NONE,NONE,ObvPl,odasiniini,o<<asiny2>>iiniw1,JDN-2010-Nouns,odasiniini,o<<asiny2>>iiniw1,JDN-2010-Nouns
59,NA,NA_Cy,asin,asiny2,3PlObvPoss,NONE,NONE,NONE,NONE,ObvPl,odasiniini,o<<asiny2>>iiniw1,GUESS,odasiniini,o<<asiny2>>iiniw1,GUESS
88,NA,NA_Cy,asin,asiny2,1SgPoss,NONE,Poss,NONE,NONE,ObvPl,nindasiniima',ni<<asiny2>>iima',JDN-2010-Nouns,nindasiniiman,ni<<asiny2>>iiman,JDN-2010-Nouns
89,NA,NA_Cy,asin,asiny2,ExclPoss,NONE,Poss,NONE,NONE,ObvPl,nindasiniiminaani',ni<<asiny2>>iiminaani',JDN-2010-Nouns,nindasiniiminaanin,ni<<asiny2>>iiminaanin,JDN-2010-Nouns
90,NA,NA_Cy,asin,asiny2,InclPoss,NONE,Poss,NONE,NONE,ObvPl,gidasiniiminaani',gi<<asiny2>>iiminaani',JDN-2010-Nouns,gidasiniiminaanin,gi<<asiny2>>iiminaanin,JDN-2010-Nouns
91,NA,NA_Cy,asin,asiny2,2SgPoss,NONE,Poss,NONE,NONE,ObvPl,gidasiniima',gi<<asiny2>>iima',JDN-2010-Nouns,gidasiniiman,gi<<asiny2>>iiman,JDN-2010-Nouns
92,NA,NA_Cy,asin,asiny2,2PlPoss,NONE,Poss,NONE,NONE,ObvPl,gidasiniimiwaa',gi<<asiny2>>iimiwaa',JDN-2010-Nouns,gidasiniimiwaan,gi<<asiny2>>iimiwaan,JDN-2010-Nouns
93,NA,NA_Cy,asin,asiny2,3SgProxPoss,NONE,Poss,NONE,NONE,ObvPl,odasiniima',o<<asiny2>>iima',JDN-2010-Nouns,odasiniiman,o<<asiny2>>iiman,JDN-2010-Nouns
94,NA,NA_Cy,asin,asiny2,3PlProxPoss,NONE,Poss,NONE,NONE,ObvPl,odasiniimiwaa',o<<asiny2>>iimiwaa',JDN-2010-Nouns,odasiniimiwaan,o<<asiny2>>iimiwaan,JDN-2010-Nouns
95,NA,NA_Cy,asin,asiny2,3SgObvPoss,NONE,Poss,NONE,NONE,ObvPl,odasiniimini,o<<asiny2>>iiminiw1,JDN-2010-Nouns,odasiniimini,o<<asiny2>>iiminiw1,JDN-2010-Nouns
96,NA,NA_Cy,asin,asiny2,3PlObvPoss,NONE,Poss,NONE,NONE,ObvPl,odasiniimini,o<<asiny2>>iiminiw1,GUESS,odasiniimini,o<<asiny2>>iiminiw1,GUESS
125,NA,NA_Cy,asin,asiny2,1SgPoss,Dim,NONE,NONE,NONE,ObvPl,nindasiniinsa',ni<<asiny2>>iinsa',JDN-2010-Nouns,nindasiniinsan,ni<<asiny2>>iinsan,JDN-2010-Nouns
126,NA,NA_Cy,asin,asiny2,ExclPoss,Dim,NONE,NONE,NONE,ObvPl,nindasiniinsinaani',ni<<asiny2>>iinsinaani',JDN-2010-Nouns,nindasiniinsinaanin,ni<<asiny2>>iinsinaanin,JDN-2010-Nouns
127,NA,NA_Cy,asin,asiny2,InclPoss,Dim,NONE,NONE,NONE,ObvPl,gidasiniinsinaani',gi<<asiny2>>iinsinaani',JDN-2010-Nouns,gidasiniinsinaanin,gi<<asiny2>>iinsinaanin,JDN-2010-Nouns
128,NA,NA_Cy,asin,asiny2,2SgPoss,Dim,NONE,NONE,NONE,ObvPl,gidasiniinsa',gi<<asiny2>>iinsa',JDN-2010-Nouns,gidasiniinsan,gi<<asiny2>>iinsan,JDN-2010-Nouns
129,NA,NA_Cy,asin,asiny2,2PlPoss,Dim,NONE,NONE,NONE,ObvPl,gidasiniinsiwaa',gi<<asiny2>>iinsiwaa',JDN-2010-Nouns,gidasiniinsiwaan,gi<<asiny2>>iinsiwaan,JDN-2010-Nouns
130,NA,NA_Cy,asin,asiny2,3SgProxPoss,Dim,NONE,NONE,NONE,ObvPl,odasiniinsa',o<<asiny2>>iinsa',JDN-2010-Nouns,odasiniinsan,o<<asiny2>>iinsan,JDN-2010-Nouns
131,NA,NA_Cy,asin,asiny2,3PlProxPoss,Dim,NONE,NONE,NONE,ObvPl,odasiniinsiwaa',o<<asiny2>>iinsiwaa',JDN-2010-Nouns,odasiniinsiwaan,o<<asiny2>>iinsiwaan,JDN-2010-Nouns
132,NA,NA_Cy,asin,asiny2,3SgObvPoss,Dim,NONE,NONE,NONE,ObvPl,odasiniinsini,o<<asiny2>>iinsiniw1,JDN-2010-Nouns,odasiniinsini,o<<asiny2>>iinsiniw1,JDN-2010-Nouns
133,NA,NA_Cy,asin,asiny2,3PlObvPoss,Dim,NONE,NONE,NONE,ObvPl,odasiniinsini,o<<asiny2>>iinsiniw1,GUESS,odasiniinsini,o<<asiny2>>iinsiniw1,GUESS
162,NA,NA_Cy,asin,asiny2,1SgPoss,Dim,Poss,NONE,NONE,ObvPl,nindasiniinsima',ni<<asiny2>>iinsima',JDN-2010-Nouns,nindasiniinsiman,ni<<asiny2>>iinsiman,JDN-2010-Nouns
163,NA,NA_Cy,asin,asiny2,ExclPoss,Dim,Poss,NONE,NONE,ObvPl,nindasiniinsiminaani',ni<<asiny2>>iinsiminaani',JDN-2010-Nouns,nindasiniinsiminaanin,ni<<asiny2>>iinsiminaanin,JDN-2010-Nouns
