Paradigm,Class,Lemma,Stem,PersPoss,Dim,Poss,Pej,Pret,Basic,Form1Surface,Form1Split,Form1Source,Form2Surface,Form2Split,Form2Source,Form3Surface,Form3Split,Form3Source
NA,NA_VVny,giigoonh,giigoonhy1,NONE,NONE,NONE,NONE,NONE,ObvPl,giigoonya',<<giigoonhy1>>a',JDN-2010-Nouns,giigoonyan,<<giigoonhy1>>an,JDN-2010-Nouns,,,
NA,NA_VVny,giigoonh,giigoonhy1,NONE,Dim,NONE,NONE,NONE,ObvPl,giigoonyensa',<<giigoonhy1>>ensa',JDN-2010-Nouns,giigoonyensan,<<giigoonhy1>>ensan,JDN-2010-Nouns,,,
NA,NA_VVny,giigoonh,giigoonhy1,NONE,NONE,NONE,Pej,NONE,ObvPl,giigoonyisha',<<giigoonhy1>>isha',JDN-2010-Nouns,giigoonyishan,<<giigoonhy1>>ishan,JDN-2010-Nouns,,,
NA,NA_VVny,giigoonh,giigoonhy1,NONE,Dim,NONE,Pej,NONE,ObvPl,giigoonyenzhisha',<<giigoonhy1>>enzhisha',JDN-2010-Nouns,giigoonyenzhishan,<<giigoonhy1>>enzhishan,JDN-2010-Nouns,,,
NA,NA_VVny,giigoonh,giigoonhy1,1SgPoss,NONE,NONE,NONE,NONE,ObvPl,ningiigoonya',ni<<giigoonhy1>>a',JDN-2010-Nouns,ningiigoonyan,ni<<giigoonhy1>>an,JDN-2010-Nouns,,,
NA,NA_VVny,giigoonh,giigoonhy1,ExclPoss,NONE,NONE,NONE,NONE,ObvPl,ningiigoonyinaani',ni<<giigoonhy1>>inaani',JDN-2010-Nouns,ningiigoonyinaanin,ni<<giigoonhy1>>inaanin,JDN-2010-Nouns,,,
NA,NA_VVny,giigoonh,giigoonhy1,InclPoss,NONE,NONE,NONE,NONE,ObvPl,gigiigoonyinaani',gi<<giigoonhy1>>inaani',JDN-2010-Nouns,gigiigoonyinaanin,gi<<giigoonhy1>>inaanin,JDN-2010-Nouns,,,
NA,NA_VVny,giigoonh,giigoonhy1,2SgPoss,NONE,NONE,NONE,NONE,ObvPl,gigiigoonya',gi<<giigoonhy1>>a',JDN-2010-Nouns,gigiigoonyan,gi<<giigoonhy1>>an,JDN-2010-Nouns,,,
NA,NA_VVny,giigoonh,giigoonhy1,2PlPoss,NONE,NONE,NONE,NONE,ObvPl,gigiigoonyiwaa',gi<<giigoonhy1>>iwaa',JDN-2010-Nouns,gigiigoonyiwaan,gi<<giigoonhy1>>iwaan,JDN-2010-Nouns,,,
NA,NA_VVny,giigoonh,giigoonhy1,3SgProxPoss,NONE,NONE,NONE,NONE,ObvPl,ogiigoonya',o<<giigoonhy1>>a',JDN-2010-Nouns,ogiigoonyan,o<<giigoonhy1>>an,JDN-2010-Nouns,,,
NA,NA_VVny,giigoonh,giigoonhy1,3PlProxPoss,NONE,NONE,NONE,NONE,ObvPl,ogiigoonyiwaa',o<<giigoonhy1>>iwaa',JDN-2010-Nouns,ogiigoonyiwaan,o<<giigoonhy1>>iwaan,JDN-2010-Nouns,,,
NA,NA_VVny,giigoonh,giigoonhy1,3SgObvPoss,NONE,NONE,NONE,NONE,ObvPl,ogiigoonyini,o<<giigoonhy1>>iniw1,JDN-2010-Nouns,ogiigoonyini,o<<giigoonhy1>>iniw1,JDN-2010-Nouns,,,
NA,NA_VVny,giigoonh,giigoonhy1,3PlObvPoss,NONE,NONE,NONE,NONE,ObvPl,ogiigoonyini,o<<giigoonhy1>>iniw1,GUESS,ogiigoonyini,o<<giigoonhy1>>iniw1,GUESS,,,
NA,NA_VVny,giigoonh,giigoonhy1,1SgPoss,NONE,Poss,NONE,NONE,ObvPl,ningiigoonyima',ni<<giigoonhy1>>ima',JDN-2010-Nouns,ningiigoonyiman,ni<<giigoonhy1>>iman,JDN-2010-Nouns,,,
NA,NA_VVny,giigoonh,giigoonhy1,ExclPoss,NONE,Poss,NONE,NONE,ObvPl,ningiigoonyiminaani',ni<<giigoonhy1>>iminaani',JDN-2010-Nouns,ningiigoonyiminaanin,ni<<giigoonhy1>>iminaanin,JDN-2010-Nouns,,,
NA,NA_VVny,giigoonh,giigoonhy1,InclPoss,NONE,Poss,NONE,NONE,ObvPl,gigiigoonyiminaani',gi<<giigoonhy1>>iminaani',JDN-2010-Nouns,gigiigoonyiminaanin,gi<<giigoonhy1>>iminaanin,JDN-2010-Nouns,,,
NA,NA_VVny,giigoonh,giigoonhy1,2SgPoss,NONE,Poss,NONE,NONE,ObvPl,gigiigoonyima',gi<<giigoonhy1>>ima',JDN-2010-Nouns,gigiigoonyiman,gi<<giigoonhy1>>iman,JDN-2010-Nouns,,,
NA,NA_VVny,giigoonh,giigoonhy1,2PlPoss,NONE,Poss,NONE,NONE,ObvPl,gigiigoonyimiwaa',gi<<giigoonhy1>>imiwaa',JDN-2010-Nouns,gigiigoonyimiwaan,gi<<giigoonhy1>>imiwaan,JDN-2010-Nouns,,,
NA,NA_VVny,giigoonh,giigoonhy1,3SgProxPoss,NONE,Poss,NONE,NONE,ObvPl,ogiigoonyima',o<<giigoonhy1>>ima',JDN-2010-Nouns,ogiigoonyiman,o<<giigoonhy1>>iman,JDN-2010-Nouns,,,
NA,NA_VVny,giigoonh,giigoonhy1,3PlProxPoss,NONE,Poss,NONE,NONE,ObvPl,ogiigoonyimiwaa',o<<giigoonhy1>>imiwaa',JDN-2010-Nouns,ogiigoonyimiwaan,o<<giigoonhy1>>imiwaan,JDN-2010-Nouns,,,
NA,NA_VVny,giigoonh,giigoonhy1,3SgObvPoss,NONE,Poss,NONE,NONE,ObvPl,ogiigoonyimini,o<<giigoonhy1>>iminiw1,JDN-2010-Nouns,ogiigoonyimini,o<<giigoonhy1>>iminiw1,JDN-2010-Nouns,,,
NA,NA_VVny,giigoonh,giigoonhy1,3PlObvPoss,NONE,Poss,NONE,NONE,ObvPl,ogiigoonyimini,o<<giigoonhy1>>iminiw1,GUESS,ogiigoonyimini,o<<giigoonhy1>>iminiw1,GUESS,,,
NA,NA_VVny,giigoonh,giigoonhy1,1SgPoss,Dim,NONE,NONE,NONE,ObvPl,ningiigoonyensa',ni<<giigoonhy1>>ensa',JDN-2010-Nouns,ningiigoonyensan,ni<<giigoonhy1>>ensan,JDN-2010-Nouns,,,
NA,NA_VVny,giigoonh,giigoonhy1,ExclPoss,Dim,NONE,NONE,NONE,ObvPl,ningiigoonyensinaani',ni<<giigoonhy1>>ensinaani',JDN-2010-Nouns,ningiigoonyensinaanin,ni<<giigoonhy1>>ensinaanin,JDN-2010-Nouns,,,
NA,NA_VVny,giigoonh,giigoonhy1,InclPoss,Dim,NONE,NONE,NONE,ObvPl,gigiigoonyensinaani',gi<<giigoonhy1>>ensinaani',JDN-2010-Nouns,gigiigoonyensinaanin,gi<<giigoonhy1>>ensinaanin,JDN-2010-Nouns,,,
NA,NA_VVny,giigoonh,giigoonhy1,2SgPoss,Dim,NONE,NONE,NONE,ObvPl,gigiigoonyensa',gi<<giigoonhy1>>ensa',JDN-2010-Nouns,gigiigoonyensan,gi<<giigoonhy1>>ensan,JDN-2010-Nouns,,,
NA,NA_VVny,giigoonh,giigoonhy1,2PlPoss,Dim,NONE,NONE,NONE,ObvPl,gigiigoonyensiwaa',gi<<giigoonhy1>>ensiwaa',JDN-2010-Nouns,gigiigoonyensiwaan,gi<<giigoonhy1>>ensiwaan,JDN-2010-Nouns,,,
NA,NA_VVny,giigoonh,giigoonhy1,3SgProxPoss,Dim,NONE,NONE,NONE,ObvPl,ogiigoonyensa',o<<giigoonhy1>>ensa',JDN-2010-Nouns,ogiigoonyensan,o<<giigoonhy1>>ensan,JDN-2010-Nouns,,,
NA,NA_VVny,giigoonh,giigoonhy1,3PlProxPoss,Dim,NONE,NONE,NONE,ObvPl,ogiigoonyensiwaa',o<<giigoonhy1>>ensiwaa',JDN-2010-Nouns,ogiigoonyensiwaan,o<<giigoonhy1>>ensiwaan,JDN-2010-Nouns,,,
