Paradigm,Class,Lemma,Stem,PersPoss,Dim,Poss,Pej,Pret,Basic,Form1Surface,Form1Split,Form1Source
Inan,C-final,jiimaan,<<jiimaan>>,1SgPoss,Dim,NA,NA,NA,Loc,nijiimaanensing,ni<<jiimaan>>ensing,JDN-2010-Nouns
Inan,C-final,jiimaan,<<jiimaan>>,ExclPoss,Dim,NA,NA,NA,Loc,nijiimaanensinaang,ni<<jiimaan>>ensinaang,JDN-2010-Nouns
Inan,C-final,jiimaan,<<jiimaan>>,InclPoss,Dim,NA,NA,NA,Loc,gijiimaanensinaang,gi<<jiimaan>>ensinaang,JDN-2010-Nouns
Inan,C-final,jiimaan,<<jiimaan>>,2SgPoss,Dim,NA,NA,NA,Loc,gijiimaanensing,gi<<jiimaan>>ensing,JDN-2010-Nouns
Inan,C-final,jiimaan,<<jiimaan>>,2PlPoss,Dim,NA,NA,NA,Loc,gijiimaanensiwaang,gi<<jiimaan>>ensiwaang,JDN-2010-Nouns
Inan,C-final,jiimaan,<<jiimaan>>,3SgProxPoss,Dim,NA,NA,NA,Loc,ojiimaanensing,o<<jiimaan>>ensing,JDN-2010-Nouns
Inan,C-final,jiimaan,<<jiimaan>>,3PlProxPoss,Dim,NA,NA,NA,Loc,ojiimaanensiwaang,o<<jiimaan>>ensiwaang,JDN-2010-Nouns
Inan,C-final,jiimaan,<<jiimaan>>,3SgObvPoss,Dim,NA,NA,NA,Loc,ojiimaanensining,o<<jiimaan>>ensining,JDN-2010-Nouns
Inan,C-final,jiimaan,<<jiimaan>>,3PlObvPoss,Dim,NA,NA,NA,Loc,ojiimaanensining,o<<jiimaan>>ensining,GUESS
Inan,C-final,jiimaan,<<jiimaan>>,1SgPoss,Dim,Poss,NA,NA,Pl,nijiimaanensiman,ni<<jiimaan>>ensiman,JDN-2010-Nouns
Inan,C-final,jiimaan,<<jiimaan>>,ExclPoss,Dim,Poss,NA,NA,Pl,nijiimaanensiminaanin,ni<<jiimaan>>ensiminaanin,JDN-2010-Nouns
Inan,C-final,jiimaan,<<jiimaan>>,InclPoss,Dim,Poss,NA,NA,Pl,gijiimaanensiminaanin,gi<<jiimaan>>ensiminaanin,JDN-2010-Nouns
Inan,C-final,jiimaan,<<jiimaan>>,2SgPoss,Dim,Poss,NA,NA,Pl,gijiimaanensiman,gi<<jiimaan>>ensiman,JDN-2010-Nouns
Inan,C-final,jiimaan,<<jiimaan>>,2PlPoss,Dim,Poss,NA,NA,Pl,gijiimaanensimiwaan,gi<<jiimaan>>ensimiwaan,JDN-2010-Nouns
Inan,C-final,jiimaan,<<jiimaan>>,3SgProxPoss,Dim,Poss,NA,NA,Pl,ojiimaanensiman,o<<jiimaan>>ensiman,JDN-2010-Nouns
Inan,C-final,jiimaan,<<jiimaan>>,3PlProxPoss,Dim,Poss,NA,NA,Pl,ojiimaanensimiwaan,o<<jiimaan>>ensimiwaan,JDN-2010-Nouns
Inan,C-final,jiimaan,<<jiimaan>>,3SgObvPoss,Dim,Poss,NA,NA,Pl,ojiimaanensimini,o<<jiimaan>>ensimini,JDN-2010-Nouns
Inan,C-final,jiimaan,<<jiimaan>>,3PlObvPoss,Dim,Poss,NA,NA,Pl,ojiimaanensimini,o<<jiimaan>>ensimini,GUESS
Inan,C-final,jiimaan,<<jiimaan>>,1SgPoss,Dim,Poss,NA,NA,Sg,nijiimaanensim,ni<<jiimaan>>ensim,JDN-2010-Nouns
Inan,C-final,jiimaan,<<jiimaan>>,ExclPoss,Dim,Poss,NA,NA,Sg,nijiimaanensiminaan,ni<<jiimaan>>ensiminaan,JDN-2010-Nouns
Inan,C-final,jiimaan,<<jiimaan>>,InclPoss,Dim,Poss,NA,NA,Sg,gijiimaanensiminaan,gi<<jiimaan>>ensiminaan,JDN-2010-Nouns
Inan,C-final,jiimaan,<<jiimaan>>,2SgPoss,Dim,Poss,NA,NA,Sg,gijiimaanensim,gi<<jiimaan>>ensim,JDN-2010-Nouns
Inan,C-final,jiimaan,<<jiimaan>>,2PlPoss,Dim,Poss,NA,NA,Sg,gijiimaanensimiwaa,gi<<jiimaan>>ensimiwaa,JDN-2010-Nouns
Inan,C-final,jiimaan,<<jiimaan>>,3SgProxPoss,Dim,Poss,NA,NA,Sg,ojiimaanensim,o<<jiimaan>>ensim,JDN-2010-Nouns
Inan,C-final,jiimaan,<<jiimaan>>,3PlProxPoss,Dim,Poss,NA,NA,Sg,ojiimaanensimiwaa,o<<jiimaan>>ensimiwaa,JDN-2010-Nouns
Inan,C-final,jiimaan,<<jiimaan>>,3SgObvPoss,Dim,Poss,NA,NA,Sg,ojiimaanensimini,o<<jiimaan>>ensimini,JDN-2010-Nouns
Inan,C-final,jiimaan,<<jiimaan>>,3PlObvPoss,Dim,Poss,NA,NA,Sg,ojiimaanensimini,o<<jiimaan>>ensimini,GUESS
Inan,C-final,jiimaan,<<jiimaan>>,1SgPoss,Dim,Poss,NA,NA,Loc,nijiimaanensiming,ni<<jiimaan>>ensiming,JDN-2010-Nouns
Inan,C-final,jiimaan,<<jiimaan>>,ExclPoss,Dim,Poss,NA,NA,Loc,nijiimaanensiminaang,ni<<jiimaan>>ensiminaang,JDN-2010-Nouns
