Paradigm,Class,Lemma,Stem,PersPoss,Dim,Poss,Pej,Pret,Basic,Form1Surface,Form1Split,Form1Source,Form2Surface,Form2Split,Form2Source
NI,NI_Cy,anit,anity2,3SgProxPoss,NONE,NONE,NONE,NONE,Pl,odanitiin,o<<anity2>>iin,JDN-2010-Nouns,,,
NI,NI_Cy,anit,anity2,3PlProxPoss,NONE,NONE,NONE,NONE,Pl,odanitiiwaan,o<<anity2>>iiwaan,JDN-2010-Nouns,,,
NI,NI_Cy,anit,anity2,3SgObvPoss,NONE,NONE,NONE,NONE,Pl,odanitiini,o<<anity2>>iiniw1,JDN-2010-Nouns,,,
NI,NI_Cy,anit,anity2,3PlObvPoss,NONE,NONE,NONE,NONE,Pl,odanitiini,o<<anity2>>iiniw1,GUESS,,,
NI,NI_Cy,anit,anity2,1SgPoss,NONE,Poss,NONE,NONE,Pl,nindanitiiman,ni<<anity2>>iiman,JDN-2010-Nouns,,,
NI,NI_Cy,anit,anity2,ExclPoss,NONE,Poss,NONE,NONE,Pl,nindanitiiminaanin,ni<<anity2>>iiminaanin,JDN-2010-Nouns,,,
NI,NI_Cy,anit,anity2,InclPoss,NONE,Poss,NONE,NONE,Pl,gidanitiiminaanin,gi<<anity2>>iiminaanin,JDN-2010-Nouns,,,
NI,NI_Cy,anit,anity2,2SgPoss,NONE,Poss,NONE,NONE,Pl,gidanitiiman,gi<<anity2>>iiman,JDN-2010-Nouns,,,
NI,NI_Cy,anit,anity2,2PlPoss,NONE,Poss,NONE,NONE,Pl,gidanitiimiwaan,gi<<anity2>>iimiwaan,JDN-2010-Nouns,,,
NI,NI_Cy,anit,anity2,3SgProxPoss,NONE,Poss,NONE,NONE,Pl,odanitiiman,o<<anity2>>iiman,JDN-2010-Nouns,,,
NI,NI_Cy,anit,anity2,3PlProxPoss,NONE,Poss,NONE,NONE,Pl,odanitiimiwaan,o<<anity2>>iimiwaan,JDN-2010-Nouns,,,
NI,NI_Cy,anit,anity2,3SgObvPoss,NONE,Poss,NONE,NONE,Pl,odanitiimini,o<<anity2>>iiminiw1,JDN-2010-Nouns,,,
NI,NI_Cy,anit,anity2,3PlObvPoss,NONE,Poss,NONE,NONE,Pl,odanitiimini,o<<anity2>>iiminiw1,GUESS,,,
NI,NI_Cy,anit,anity2,1SgPoss,Dim,NONE,NONE,NONE,Pl,nindanitiinsan,ni<<anity2>>iinsan,JDN-2010-Nouns,,,
NI,NI_Cy,anit,anity2,ExclPoss,Dim,NONE,NONE,NONE,Pl,nindanitiinsinaanin,ni<<anity2>>iinsinaanin,JDN-2010-Nouns,,,
NI,NI_Cy,anit,anity2,InclPoss,Dim,NONE,NONE,NONE,Pl,gidanitiinsinaanin,gi<<anity2>>iinsinaanin,JDN-2010-Nouns,,,
NI,NI_Cy,anit,anity2,2SgPoss,Dim,NONE,NONE,NONE,Pl,gidanitiinsan,gi<<anity2>>iinsan,JDN-2010-Nouns,,,
NI,NI_Cy,anit,anity2,2PlPoss,Dim,NONE,NONE,NONE,Pl,gidanitiinsiwaan,gi<<anity2>>iinsiwaan,JDN-2010-Nouns,,,
NI,NI_Cy,anit,anity2,3SgProxPoss,Dim,NONE,NONE,NONE,Pl,odanitiinsan,o<<anity2>>iinsan,JDN-2010-Nouns,,,
NI,NI_Cy,anit,anity2,3PlProxPoss,Dim,NONE,NONE,NONE,Pl,odanitiinsiwaan,o<<anity2>>iinsiwaan,JDN-2010-Nouns,,,
NI,NI_Cy,anit,anity2,3SgObvPoss,Dim,NONE,NONE,NONE,Pl,odanitiinsini,o<<anity2>>iinsiniw1,JDN-2010-Nouns,,,
NI,NI_Cy,anit,anity2,3PlObvPoss,Dim,NONE,NONE,NONE,Pl,odanitiinsini,o<<anity2>>iinsiniw1,GUESS,,,
NI,NI_Cy,anit,anity2,1SgPoss,Dim,Poss,NONE,NONE,Pl,nindanitiinsiman,ni<<anity2>>iinsiman,JDN-2010-Nouns,,,
NI,NI_Cy,anit,anity2,ExclPoss,Dim,Poss,NONE,NONE,Pl,nindanitiinsiminaanin,ni<<anity2>>iinsiminaanin,JDN-2010-Nouns,,,
NI,NI_Cy,anit,anity2,InclPoss,Dim,Poss,NONE,NONE,Pl,gidanitiinsiminaanin,gi<<anity2>>iinsiminaanin,JDN-2010-Nouns,,,
NI,NI_Cy,anit,anity2,2SgPoss,Dim,Poss,NONE,NONE,Pl,gidanitiinsiman,gi<<anity2>>iinsiman,JDN-2010-Nouns,,,
NI,NI_Cy,anit,anity2,2PlPoss,Dim,Poss,NONE,NONE,Pl,gidanitiinsimiwaan,gi<<anity2>>iinsimiwaan,JDN-2010-Nouns,,,
NI,NI_Cy,anit,anity2,3SgProxPoss,Dim,Poss,NONE,NONE,Pl,odanitiinsiman,o<<anity2>>iinsiman,JDN-2010-Nouns,,,
NI,NI_Cy,anit,anity2,3PlProxPoss,Dim,Poss,NONE,NONE,Pl,odanitiinsimiwaan,o<<anity2>>iinsimiwaan,JDN-2010-Nouns,,,
NI,NI_Cy,anit,anity2,3SgObvPoss,Dim,Poss,NONE,NONE,Pl,odanitiinsimini,o<<anity2>>iinsiminiw1,JDN-2010-Nouns,,,
NI,NI_Cy,anit,anity2,3PlObvPoss,Dim,Poss,NONE,NONE,Pl,odanitiinsimini,o<<anity2>>iinsiminiw1,GUESS,,,
NI,NI_Cy,anit,anity2,1SgPoss,NONE,NONE,Pej,NONE,Pl,nindanitiishan,ni<<anity2>>iishan,JDN-2010-Nouns,,,
NI,NI_Cy,anit,anity2,ExclPoss,NONE,NONE,Pej,NONE,Pl,nindanitiishinaanin,ni<<anity2>>iishinaanin,JDN-2010-Nouns,,,
NI,NI_Cy,anit,anity2,InclPoss,NONE,NONE,Pej,NONE,Pl,gidanitiishinaanin,gi<<anity2>>iishinaanin,JDN-2010-Nouns,,,
NI,NI_Cy,anit,anity2,2SgPoss,NONE,NONE,Pej,NONE,Pl,gidanitiishan,gi<<anity2>>iishan,JDN-2010-Nouns,,,
NI,NI_Cy,anit,anity2,2PlPoss,NONE,NONE,Pej,NONE,Pl,gidanitiishiwaan,gi<<anity2>>iishiwaan,JDN-2010-Nouns,,,
NI,NI_Cy,anit,anity2,3SgProxPoss,NONE,NONE,Pej,NONE,Pl,odanitiishan,o<<anity2>>iishan,JDN-2010-Nouns,,,
NI,NI_Cy,anit,anity2,3PlProxPoss,NONE,NONE,Pej,NONE,Pl,odanitiishiwaan,o<<anity2>>iishiwaan,JDN-2010-Nouns,,,
NI,NI_Cy,anit,anity2,3SgObvPoss,NONE,NONE,Pej,NONE,Pl,odanitiishini,o<<anity2>>iishiniw1,JDN-2010-Nouns,,,
NI,NI_Cy,anit,anity2,3PlObvPoss,NONE,NONE,Pej,NONE,Pl,odanitiishini,o<<anity2>>iishiniw1,GUESS,,,
NI,NI_Cy,anit,anity2,1SgPoss,NONE,Poss,Pej,NONE,Pl,nindanitiimishan,ni<<anity2>>iimishan,JDN-2010-Nouns,,,
NI,NI_Cy,anit,anity2,ExclPoss,NONE,Poss,Pej,NONE,Pl,nindanitiimishinaanin,ni<<anity2>>iimishinaanin,JDN-2010-Nouns,,,
NI,NI_Cy,anit,anity2,InclPoss,NONE,Poss,Pej,NONE,Pl,gidanitiimishinaanin,gi<<anity2>>iimishinaanin,JDN-2010-Nouns,,,
NI,NI_Cy,anit,anity2,2SgPoss,NONE,Poss,Pej,NONE,Pl,gidanitiimishan,gi<<anity2>>iimishan,JDN-2010-Nouns,,,
NI,NI_Cy,anit,anity2,2PlPoss,NONE,Poss,Pej,NONE,Pl,gidanitiimishiwaan,gi<<anity2>>iimishiwaan,JDN-2010-Nouns,,,
NI,NI_Cy,anit,anity2,3SgProxPoss,NONE,Poss,Pej,NONE,Pl,odanitiimishan,o<<anity2>>iimishan,JDN-2010-Nouns,,,
