,Paradigm,Class,Lemma,Stem,PersPoss,Dim,Poss,Pej,Pret,Basic,Form1Surface,Form1Split,Form1Source,Form2Surface,Form2Split,Form2Source
131,NA,NA_VV,anishinaabe,anishinaabew2,3PlProxPoss,Dim,NONE,NONE,NONE,ObvPl,odanishinaabensiwaa',o<<anishinaabew2>>nsiwaa',JDN-2010-Nouns,odanishinaabensiwaan,o<<anishinaabew2>>nsiwaan,JDN-2010-Nouns
132,NA,NA_VV,anishinaabe,anishinaabew2,3SgObvPoss,Dim,NONE,NONE,NONE,ObvPl,odanishinaabensini,o<<anishinaabew2>>nsiniw1,JDN-2010-Nouns,odanishinaabensini,o<<anishinaabew2>>nsiniw1,JDN-2010-Nouns
133,NA,NA_VV,anishinaabe,anishinaabew2,3PlObvPoss,Dim,NONE,NONE,NONE,ObvPl,odanishinaabensini,o<<anishinaabew2>>nsiniw1,GUESS,odanishinaabensini,o<<anishinaabew2>>nsiniw1,GUESS
162,NA,NA_VV,anishinaabe,anishinaabew2,1SgPoss,Dim,Poss,NONE,NONE,ObvPl,nindanishinaabensima',ni<<anishinaabew2>>nsima',JDN-2010-Nouns,nindanishinaabensiman,ni<<anishinaabew2>>nsiman,JDN-2010-Nouns
163,NA,NA_VV,anishinaabe,anishinaabew2,ExclPoss,Dim,Poss,NONE,NONE,ObvPl,nindanishinaabensiminaani',ni<<anishinaabew2>>nsiminaani',JDN-2010-Nouns,nindanishinaabensiminaanin,ni<<anishinaabew2>>nsiminaanin,JDN-2010-Nouns
164,NA,NA_VV,anishinaabe,anishinaabew2,InclPoss,Dim,Poss,NONE,NONE,ObvPl,gidanishinaabensiminaani',gi<<anishinaabew2>>nsiminaani',JDN-2010-Nouns,gidanishinaabensiminaanin,gi<<anishinaabew2>>nsiminaanin,JDN-2010-Nouns
165,NA,NA_VV,anishinaabe,anishinaabew2,2SgPoss,Dim,Poss,NONE,NONE,ObvPl,gidanishinaabensima',gi<<anishinaabew2>>nsima',JDN-2010-Nouns,gidanishinaabensiman,gi<<anishinaabew2>>nsiman,JDN-2010-Nouns
166,NA,NA_VV,anishinaabe,anishinaabew2,2PlPoss,Dim,Poss,NONE,NONE,ObvPl,gidanishinaabensimiwaa',gi<<anishinaabew2>>nsimiwaa',JDN-2010-Nouns,gidanishinaabensimiwaan,gi<<anishinaabew2>>nsimiwaan,JDN-2010-Nouns
167,NA,NA_VV,anishinaabe,anishinaabew2,3SgProxPoss,Dim,Poss,NONE,NONE,ObvPl,odanishinaabensima',o<<anishinaabew2>>nsima',JDN-2010-Nouns,odanishinaabensiman,o<<anishinaabew2>>nsiman,JDN-2010-Nouns
168,NA,NA_VV,anishinaabe,anishinaabew2,3PlProxPoss,Dim,Poss,NONE,NONE,ObvPl,odanishinaabensimiwaa',o<<anishinaabew2>>nsimiwaa',JDN-2010-Nouns,odanishinaabensimiwaan,o<<anishinaabew2>>nsimiwaan,JDN-2010-Nouns
169,NA,NA_VV,anishinaabe,anishinaabew2,3SgObvPoss,Dim,Poss,NONE,NONE,ObvPl,odanishinaabensimini,o<<anishinaabew2>>nsiminiw1,JDN-2010-Nouns,odanishinaabensimini,o<<anishinaabew2>>nsiminiw1,JDN-2010-Nouns
170,NA,NA_VV,anishinaabe,anishinaabew2,3PlObvPoss,Dim,Poss,NONE,NONE,ObvPl,odanishinaabensimini,o<<anishinaabew2>>nsiminiw1,GUESS,odanishinaabensimini,o<<anishinaabew2>>nsiminiw1,GUESS
199,NA,NA_VV,anishinaabe,anishinaabew2,1SgPoss,NONE,NONE,Pej,NONE,ObvPl,nindanishinaabewisha',ni<<anishinaabew2>>isha',JDN-2010-Nouns,nindanishinaabewishan,ni<<anishinaabew2>>ishan,JDN-2010-Nouns
200,NA,NA_VV,anishinaabe,anishinaabew2,ExclPoss,NONE,NONE,Pej,NONE,ObvPl,nindanishinaabewishinaani',ni<<anishinaabew2>>ishinaani',JDN-2010-Nouns,nindanishinaabewishinaanin,ni<<anishinaabew2>>ishinaanin,JDN-2010-Nouns
201,NA,NA_VV,anishinaabe,anishinaabew2,InclPoss,NONE,NONE,Pej,NONE,ObvPl,gidanishinaabewishinaani',gi<<anishinaabew2>>ishinaani',JDN-2010-Nouns,gidanishinaabewishinaanin,gi<<anishinaabew2>>ishinaanin,JDN-2010-Nouns
202,NA,NA_VV,anishinaabe,anishinaabew2,2SgPoss,NONE,NONE,Pej,NONE,ObvPl,gidanishinaabewisha',gi<<anishinaabew2>>isha',JDN-2010-Nouns,gidanishinaabewishan,gi<<anishinaabew2>>ishan,JDN-2010-Nouns
203,NA,NA_VV,anishinaabe,anishinaabew2,2PlPoss,NONE,NONE,Pej,NONE,ObvPl,gidanishinaabewishiwaa',gi<<anishinaabew2>>ishiwaa',JDN-2010-Nouns,gidanishinaabewishiwaan,gi<<anishinaabew2>>ishiwaan,JDN-2010-Nouns
